seed,history_length,representation,split,horizon,signal,status,n_origins,n_forecast_samples,trajectory_rmse,endpoint_mae,mean_predicted_events,preprojection_invalid_state_rate,duration_clip_rate,zero_duration_displacement_projection_rate,postprojection_valid_rate,rollout_completion_rate,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,mean_input_raw_span,n_predictive_parameters,rollout_runtime_median_s,candidate_rmse_ratio_vs_control
228973438714350052,4,raw_ar,test,16,ramp,ok,11,176,0.01720486919799984,0.0178352788908536,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.0093894,1.7892620142263336
228973438714350052,4,raw_matched,test,16,ramp,ok,11,176,0.03613701981303163,0.03947843949409721,22.818181818181817,0.45454545454545453,0.36363636363636365,0.45454545454545453,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0023027,0.851869331643462
228973438714350052,4,vectorchain_absolute,test,16,ramp,ok,11,176,0.03079185784937749,0.03664325766481344,19.0,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,48.54545454545455,63,0.0027049,0.9997454218676236
228973438714350052,4,vectorchain_cartesian,test,16,ramp,ok,11,176,0.025424170636387678,0.028042828885790613,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,48.54545454545455,39,0.0027385,1.2108170353315273
228973438714350052,4,vectorchain_relational,test,16,ramp,ok,11,176,0.030784018915713796,0.03663153314954097,19.0,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,48.54545454545455,87,0.0027106,1.0
228973438714350052,4,fixed_relational,test,16,regime_change,ok,14,224,0.11403287886232887,0.13987725609592186,12.5,0.0,0.2857142857142857,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0018402000000000002,0.9761099892741835
228973438714350052,4,persistence,test,16,regime_change,ok,14,224,0.1781276299910509,0.26355671534098646,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,4.95e-06,0.6248813402435334
228973438714350052,4,raw_ar,test,16,regime_change,ok,14,224,0.07736032231801002,0.12631252004012708,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.00948525,1.4388336142867733
228973438714350052,4,raw_matched,test,16,regime_change,ok,14,224,0.5350371099676325,0.7136759964489503,23.785714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0018773499999999999,0.20803908755029307
228973438714350052,4,vectorchain_absolute,test,16,regime_change,ok,14,224,0.11131152413840119,0.17533363456475426,18.785714285714285,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,45.142857142857146,63,0.0027117499999999998,0.9999740190855216
