control,split,history_length,seed,n_horizons,geometric_mean_candidate_rmse_ratio_vs_control,candidate_seed_success
fixed_relational,test,8,1488991049205644303,3,4.957404023990212e-23,True
fixed_relational,test,8,2506524397075762905,3,1.3253534842147508e-33,True
fixed_relational,test,8,228973438714350052,3,0.6489376569282573,True
raw_ar,test,8,5334086151564077557,3,1.949858030078638,False
raw_ar,test,8,9076691527785929283,3,1.5666076004713914,False
raw_ar,test,8,1488991049205644303,3,1.7554502535298495,False
raw_ar,test,8,2506524397075762905,3,1.9720628884246318,False
raw_ar,test,8,228973438714350052,3,1.5348804956214799,False
persistence,test,8,5334086151564077557,3,0.9398456676250286,True
persistence,test,8,9076691527785929283,3,0.822045162791623,True
persistence,test,8,1488991049205644303,3,0.8434877726223594,True
persistence,test,8,2506524397075762905,3,1.06475387809385,False
persistence,test,8,228973438714350052,3,0.7838349761098566,True
raw_matched,test,16,5334086151564077557,3,0.0018991160073846753,True
raw_matched,test,16,9076691527785929283,3,3.994765173028317e-05,True
raw_matched,test,16,1488991049205644303,3,0.039683098307065554,True
raw_matched,test,16,2506524397075762905,3,0.6313931574039594,True
raw_matched,test,16,228973438714350052,3,0.236607388439733,True
fixed_relational,test,16,5334086151564077557,3,0.35775909030362135,True
fixed_relational,test,16,9076691527785929283,3,0.4380328155436422,True
fixed_relational,test,16,1488991049205644303,3,5.0464127521893076e-27,True
fixed_relational,test,16,2506524397075762905,3,6.376479525714509e-38,True
fixed_relational,test,16,228973438714350052,3,0.8959616460439287,True
raw_ar,test,16,5334086151564077557,3,2.6826857023449837,False
raw_ar,test,16,9076691527785929283,3,1.9559752731829456,False
raw_ar,test,16,1488991049205644303,3,2.8275087048976104,False
raw_ar,test,16,2506524397075762905,3,2.8857754408864156,False
raw_ar,test,16,228973438714350052,3,2.9076972310527016,False
persistence,test,16,5334086151564077557,3,1.0673025844653763,False
persistence,test,16,9076691527785929283,3,0.8380850723896516,True
persistence,test,16,1488991049205644303,3,1.1227715130539413,False
persistence,test,16,2506524397075762905,3,1.222794773088706,False
persistence,test,16,228973438714350052,3,1.1351180983359643,False
