seed,history_length,representation,split,horizon,status,n_origins,n_forecast_samples,trajectory_rmse,endpoint_mae,mean_predicted_events,preprojection_invalid_state_rate,duration_clip_rate,zero_duration_displacement_projection_rate,postprojection_valid_rate,rollout_completion_rate,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,mean_input_raw_span,n_predictive_parameters,rollout_runtime_median_s,candidate_rmse_ratio_vs_control
228973438714350052,4,raw_ar,validation,16,ok,120,1920,0.0342573951032122,0.03652092101862358,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.007907299999999999,1.8634317948583927
228973438714350052,4,raw_matched,validation,16,ok,120,1920,0.23420357931563993,0.19890880442811648,24.25,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0021359,0.2725676500371439
228973438714350052,4,vectorchain_absolute,validation,16,ok,120,1920,0.06384055360942191,0.0652322796198307,18.875,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,49.475,63,0.00245235,0.9999336728015237
228973438714350052,4,vectorchain_cartesian,validation,16,ok,120,1920,0.06228845157635258,0.062433344325199196,18.925,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,49.475,39,0.0024602,1.0248499943220113
228973438714350052,4,vectorchain_relational,validation,16,ok,120,1920,0.06383631924435182,0.06523877232469154,18.875,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,49.475,87,0.0025021,1.0
228973438714350052,4,fixed_relational,validation,64,ok,120,7680,0.5345497977287397,0.8594942859231888,13.691666666666666,0.0,0.3,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0018598500000000001,0.4975861198290459
228973438714350052,4,persistence,validation,64,ok,120,7680,0.3090780455457697,0.32726628685785725,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5.15e-06,0.8605740962208094
228973438714350052,4,raw_ar,validation,64,ok,120,7680,0.2212225777430764,0.2451537554653617,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.007907299999999999,1.2023391211730394
228973438714350052,4,raw_matched,validation,64,ok,120,7680,1.9885094546835818,2.337380429902431,24.25,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0021359,0.1337607719595023
228973438714350052,4,vectorchain_absolute,validation,64,ok,120,7680,0.26599245303828606,0.29412520590347013,18.875,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,49.475,63,0.00245235,0.9999703249812127
228973438714350052,4,vectorchain_cartesian,validation,64,ok,120,7680,0.27303343630802596,0.2937328747774012,18.925,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,49.475,39,0.0024602,0.9741831011758252
228973438714350052,4,vectorchain_relational,validation,64,ok,120,7680,0.2659845597072449,0.2941168037403041,18.875,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,49.475,87,0.0025021,1.0
228973438714350052,4,fixed_relational,validation,128,ok,120,15360,1.1456048101132212,1.7286145078490118,13.691666666666666,0.0,0.3,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0018598500000000001,0.49109748716349794
228973438714350052,4,persistence,validation,128,ok,120,15360,0.5627526271729353,0.5453530260276599,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5.15e-06,0.9997352590877016
228973438714350052,4,raw_ar,validation,128,ok,120,15360,0.5564612303113889,0.5567562514635688,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.007907299999999999,1.01103834891461
228973438714350052,4,raw_matched,validation,128,ok,120,15360,6.822063593672056,10.32588078996732,24.25,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0021359,0.08246824964382823
228973438714350052,4,vectorchain_absolute,validation,128,ok,120,15360,0.562614244423233,0.5493434048311313,18.875,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,49.475,63,0.00245235,0.9999811577927168
228973438714350052,4,vectorchain_cartesian,validation,128,ok,120,15360,0.5765391500374034,0.5493867683838242,18.925,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,49.475,39,0.0024602,0.9758290369223318
228973438714350052,4,vectorchain_relational,validation,128,ok,120,15360,0.5626036435290191,0.5493313479353691,18.875,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,49.475,87,0.0025021,1.0
228973438714350052,8,fixed_relational,test,16,ok,91,1456,0.11080208186599395,0.08173700638414777,13.637362637362637,0.02197802197802198,0.18681318681318682,0.03296703296703297,1.0,1.0,8.0,56.0,448.0,73.0,171,0.0022475,0.6475946411731076
228973438714350052,8,persistence,test,16,ok,91,1456,0.09475492701399528,0.09689773263966234,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,8.5e-06,0.7572675818392375
228973438714350052,8,raw_ar,test,16,ok,91,1456,0.03151380206902468,0.034390744784699674,0.0,0.0,0.0,0.0,1.0,1.0,56.0,56.0,448.0,56.0,57,0.0096259,2.2769335889740323
228973438714350052,8,raw_matched,test,16,ok,91,1456,0.2822697769772236,0.2283848484702576,41.417582417582416,0.5164835164835165,0.5054945054945055,0.5274725274725275,1.0,1.0,56.0,56.0,448.0,56.0,171,0.0023835,0.25420657930739626
