representation,variant,features,role,split,horizon,context_length,tolerance,n_seeds,n_successes,n_failures,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max,rmse_ratio_vs_raw_mean,rmse_ratio_vs_raw_median,rmse_ratio_vs_reference_mean,rmse_ratio_vs_reference_median,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,n_pooled_features,n_model_parameters,step_reduction_factor_vs_raw_mean,scalar_reduction_factor_vs_raw_mean,predictive_parity_rate,structural_reduction_success_rate,payload_reduction_success_rate,joint_success_rate,beats_reference_rate,practical_improvement_rate,robust_improvement_cell,representation_runtime_median_s
first_difference,,,baseline,validation,1,64,,5,5,0,0.018386978672251107,0.01859723675281547,0.026004323600967626,0.026343107103082537,0.025214933094923953,0.026784626418901367,0.024683168041954237,0.026995783345976035,1.3815299098549696,1.3727264848516763,,,63.0,63.0,504.0,3,4,1.0158730158730158,1.0158730158730158,,,,,,,,0.0662172
first_difference,,,baseline,validation,1,128,,5,5,0,0.01832863028825953,0.01832547824715123,0.024439199914772593,0.025099143678640537,0.023879733583002893,0.0251541397619862,0.022358497546242306,0.02570448500399102,1.082254412218877,1.084710515411006,,,127.0,127.0,1016.0,3,4,1.0078740157480315,1.0078740157480315,,,,,,,,0.0633577
first_difference,,,baseline,validation,4,32,,5,5,0,0.0329855184456722,0.032875119117388725,0.05211254474817428,0.05210197574868698,0.0520039699574121,0.05230000436019703,0.05126895368689104,0.052887819987684284,1.4689309269945692,1.4781507371809848,,,31.0,31.0,248.0,3,4,1.032258064516129,1.032258064516129,,,,,,,,0.068248
first_difference,,,baseline,validation,4,64,,5,5,0,0.046282847651995404,0.04611913647138726,0.07443415977393042,0.07427851461755108,0.07423204127731874,0.0751317330923172,0.07271193283847736,0.0758165770439877,1.3272723800556778,1.3272078335358972,,,63.0,63.0,504.0,3,4,1.0158730158730158,1.0158730158730158,,,,,,,,0.0663024
first_difference,,,baseline,validation,4,128,,5,5,0,0.0458103553678244,0.04567476097381351,0.06696671877330751,0.06703325020004686,0.06565157648187069,0.06751529070143478,0.06528029161317034,0.06935318487001489,0.9046351134721377,0.9085208091665455,,,127.0,127.0,1016.0,3,4,1.0078740157480315,1.0078740157480315,,,,,,,,0.0645007
first_difference,,,baseline,validation,16,32,,5,5,0,0.1360579476025905,0.13641610166428808,0.23654502115773504,0.23749190425086927,0.234607486873131,0.23774540663251206,0.2340959623511985,0.23878434568096443,1.322940833735934,1.3213689174330794,,,31.0,31.0,248.0,3,4,1.032258064516129,1.032258064516129,,,,,,,,0.0699341
first_difference,,,baseline,validation,16,64,,5,5,0,0.17543287237202493,0.17511093861814844,0.29664067760404056,0.29674669288827643,0.2944211660148961,0.29894794009190445,0.29081708777684423,0.3022705012482816,1.1381392249607352,1.1348841779232934,,,63.0,63.0,504.0,3,4,1.0158730158730158,1.0158730158730158,,,,,,,,0.0669555
first_difference,,,baseline,validation,16,128,,5,5,0,0.16483807351237606,0.16281805938382746,0.2531594079427052,0.25331020022096534,0.24572423735350973,0.2600635091239394,0.24551094111706434,0.26118815189804706,0.846939927767778,0.8499104551161244,,,127.0,127.0,1016.0,3,4,1.0078740157480315,1.0078740157480315,,,,,,,,0.0618191
raw,,,baseline,test,1,32,,5,5,0,0.012895359135651863,0.012792032756953415,0.01620090461462778,0.016097761603595707,0.016090501905939573,0.016248629368978786,0.015328159907243568,0.017239470287381264,1.0,1.0,,,32.0,32.0,256.0,3,4,1.0,1.0,,,,,,,,0.0647548
raw,,,baseline,test,1,64,,5,5,0,0.015316844083917194,0.015014720083066676,0.01997238470744773,0.019772766415493043,0.019731275983390667,0.019919906342916176,0.01919115887356014,0.02124681592187863,1.0,1.0,,,64.0,64.0,512.0,3,4,1.0,1.0,,,,,,,,0.0606099
raw,,,baseline,test,1,128,,5,5,0,0.017448286183830108,0.017415340174427075,0.0233009695334288,0.02291719282907656,0.022899832935210612,0.023496071747173494,0.022690235192185753,0.024501514963497565,1.0,1.0,,,128.0,128.0,1024.0,3,4,1.0,1.0,,,,,,,,0.0588012
raw,,,baseline,test,4,32,,5,5,0,0.027186223000605858,0.027164601556516663,0.03961351913699983,0.03948178938534824,0.03945943222188889,0.039680665465761586,0.03919337246111951,0.04025233615088091,1.0,1.0,,,32.0,32.0,256.0,3,4,1.0,1.0,,,,,,,,0.0624267
raw,,,baseline,test,4,64,,5,5,0,0.038523049512467496,0.03844589509166227,0.06271091281694605,0.06256652873905928,0.06256543172248372,0.06274672703883584,0.06246709637547718,0.06320878020887422,1.0,1.0,,,64.0,64.0,512.0,3,4,1.0,1.0,,,,,,,,0.0606984
raw,,,baseline,test,4,128,,5,5,0,0.04726488494245157,0.047281231265162066,0.07764372670240961,0.07751448676320012,0.07750896413382904,0.07769169087645689,0.07745543912480651,0.07804805261375553,1.0,1.0,,,128.0,128.0,1024.0,3,4,1.0,1.0,,,,,,,,0.0573043
raw,,,baseline,test,16,32,,5,5,0,0.11653066666015162,0.11654824382041126,0.20406015333926045,0.20406021512480174,0.20393689481290148,0.20459283347257906,0.20300661511911278,0.20470420816690732,1.0,1.0,,,32.0,32.0,256.0,3,4,1.0,1.0,,,,,,,,0.0614232
raw,,,baseline,test,16,64,,5,5,0,0.15353267280147226,0.15352420316733645,0.28157911464839996,0.28158924729638174,0.28134932511040894,0.28210383130068134,0.28071755115641045,0.2821356183781174,1.0,1.0,,,64.0,64.0,512.0,3,4,1.0,1.0,,,,,,,,0.0593829
raw,,,baseline,test,16,128,,5,5,0,0.179680724069264,0.17968968696669194,0.30599455717299834,0.30595235397035986,0.30558854654472434,0.30644206974924815,0.3052819641550858,0.3067078514455736,1.0,1.0,,,128.0,128.0,1024.0,3,4,1.0,1.0,,,,,,,,0.0576487
raw,,,baseline,validation,1,32,,5,5,0,0.012776962929280706,0.012971888757073112,0.01605089535623467,0.016336567181238135,0.0161774083292254,0.016376463811399643,0.014625625438226791,0.016738412021083376,1.0,1.0,,,32.0,32.0,256.0,3,4,1.0,1.0,,,,,,,,0.0647548
raw,,,baseline,validation,1,64,,5,5,0,0.014561492997052939,0.014905524111381477,0.018839401301959924,0.01935007654134229,0.018368504850147505,0.019436235588762535,0.01723395039058299,0.019808239138964293,1.0,1.0,,,64.0,64.0,512.0,3,4,1.0,1.0,,,,,,,,0.0606099
raw,,,baseline,validation,1,128,,5,5,0,0.016940630420095113,0.017315109134517004,0.022588085470685727,0.02310810038000919,0.021375882734737763,0.02318972611089244,0.021101774912132262,0.024164943215657,1.0,1.0,,,128.0,128.0,1024.0,3,4,1.0,1.0,,,,,,,,0.0588012
raw,,,baseline,validation,4,32,,5,5,0,0.024626832591615532,0.02429790156396089,0.03548078434154179,0.03524808021139431,0.035144642152991484,0.03579838820182322,0.03505614299094726,0.03615666815055268,1.0,1.0,,,32.0,32.0,256.0,3,4,1.0,1.0,,,,,,,,0.0624267
raw,,,baseline,validation,4,64,,5,5,0,0.034701502952800965,0.034660083866973036,0.05608188419425035,0.05598291103896755,0.05593098488542862,0.056305300124103966,0.055754804717566706,0.056435420205184945,1.0,1.0,,,64.0,64.0,512.0,3,4,1.0,1.0,,,,,,,,0.0606984
raw,,,baseline,validation,4,128,,5,5,0,0.044842649480162484,0.04468741178346794,0.07402612905454467,0.07402505713511623,0.07378359867919666,0.07423282133363648,0.07378284517394984,0.07430632295082411,1.0,1.0,,,128.0,128.0,1024.0,3,4,1.0,1.0,,,,,,,,0.0573043
raw,,,baseline,validation,16,32,,5,5,0,0.10218456880093645,0.10203193954070024,0.17880212569792353,0.1788801104592664,0.17868402237576425,0.17904818809291334,0.17766659061450465,0.17973171694716894,1.0,1.0,,,32.0,32.0,256.0,3,4,1.0,1.0,,,,,,,,0.0614232
raw,,,baseline,validation,16,64,,5,5,0,0.14062453174315195,0.14059705138490597,0.2606365282107107,0.26079423013071884,0.26047461675101574,0.2608225989096394,0.25961368181998107,0.26147751344219855,1.0,1.0,,,64.0,64.0,512.0,3,4,1.0,1.0,,,,,,,,0.0593829
raw,,,baseline,validation,16,128,,5,5,0,0.17077876908752182,0.17091175933170122,0.2989139635323414,0.29910350360002325,0.2989272173120496,0.2991364303136863,0.29804339821464515,0.29935926822130265,1.0,1.0,,,128.0,128.0,1024.0,3,4,1.0,1.0,,,,,,,,0.0576487
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,test,1,32,0.1,5,5,0,0.013015039731111283,0.013006099767197252,0.016501544575727493,0.015774974830708905,0.015607366411922272,0.016889402778054723,0.014383778134237999,0.01985220072371356,1.0195054128937837,0.9708495696766791,1.0,1.0,1.2229691876750701,4.8918767507002805,39.135014005602244,12,13,26.165914559636764,6.541478639909191,0.8,1.0,1.0,0.8,0.0,0.0,False,0.7501852
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,test,1,64,0.1,5,5,0,0.012428445783806946,0.012416422009404281,0.01558361306089486,0.015569799840693437,0.015231879724477515,0.015619744459550536,0.014148328284968426,0.017348312994784384,0.7794622672021206,0.7841274045500297,1.0,1.0,1.6789915966386555,6.715966386554622,53.727731092436976,12,13,38.119887555673785,9.529971888918446,1.0,1.0,1.0,1.0,0.0,0.0,False,1.3639031
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,test,1,128,0.1,5,5,0,0.012408324487219676,0.012282769001617014,0.015590566307296915,0.015424360763788919,0.015303716868677536,0.015677963885430385,0.01481942723956682,0.016727362779020927,0.6688844792268698,0.668289454860898,1.0,1.0,2.611764705882353,10.447058823529412,83.5764705882353,12,13,49.01015011707217,12.252537529268043,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6647923
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,test,4,32,0.1,5,5,0,0.02292291415653985,0.022340343124474776,0.03627585872023946,0.033618064044074934,0.02941820630846507,0.03961143033060773,0.028113460756085173,0.05061813216196438,0.9165054443471709,0.8351829299562086,1.0,1.0,1.2241758241758243,4.896703296703297,39.17362637362638,12,13,26.140120034595746,6.535030008648937,0.8,1.0,1.0,0.8,0.0,0.0,False,0.7494111
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,test,4,64,0.1,5,5,0,0.019812231683801675,0.01984510788414098,0.028158908615808893,0.027912341309883792,0.027506981003822262,0.028756863179700547,0.027385899977849633,0.02923245760778822,0.449054782716454,0.4448413905733761,1.0,1.0,1.6796703296703295,6.718681318681318,53.74945054945054,12,13,38.104414976858756,9.526103744214689,1.0,1.0,1.0,1.0,0.0,0.0,False,1.3779565
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,test,4,128,0.1,5,5,0,0.022236615869432118,0.022476315738460827,0.033195072053453366,0.03331318193998074,0.03288751715341542,0.03395609413395985,0.031130982498551,0.03468758454135981,0.427523298728823,0.42682912416586655,1.0,1.0,2.6137362637362633,10.454945054945053,83.63956043956043,12,13,48.97313635857132,12.24328408964283,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6293417
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,test,16,32,0.1,5,5,0,0.0938014844580786,0.08108263626099449,0.18566134890941616,0.14562645260098758,0.14550965569957908,0.2465718757156767,0.11680178988866297,0.27379697064217434,0.9099607866795498,0.7135033404969439,1.0,1.0,1.2241758241758243,4.896703296703297,39.17362637362638,12,13,26.140120034595746,6.535030008648937,0.6,1.0,1.0,0.6,0.0,0.0,False,0.7324082
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,test,16,64,0.1,5,5,0,0.08131719047862813,0.08014180176088123,0.16101520284077292,0.15779186439485648,0.15350590854106108,0.16194354111133008,0.1529168525703887,0.17891784758622822,0.5718743767182464,0.5603618245719997,1.0,1.0,1.6785714285714284,6.7142857142857135,53.71428571428571,12,13,38.12999359973057,9.532498399932642,1.0,1.0,1.0,1.0,0.0,0.0,False,1.3522455
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,test,16,128,0.1,5,5,0,0.10277098688923972,0.10450364897008702,0.2011435841900429,0.2057076998093565,0.19748392673690668,0.20716190707954937,0.17908967817625848,0.2162747091481436,0.657336303204519,0.6738285387369143,1.0,1.0,2.6142857142857143,10.457142857142857,83.65714285714286,12,13,48.962863355766544,12.240715838941636,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6127138
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,validation,1,32,0.1,5,5,0,0.013316244828437043,0.01295017694426012,0.01687130993831332,0.01638833721170279,0.016230367502944487,0.016749307001505898,0.016119126599055476,0.018869411376357947,1.0564142237941816,1.0032736500582367,1.0,1.0,1.2106442577030812,4.842577030812325,38.7406162464986,12,13,26.432456643799135,6.608114160949784,0.8,1.0,1.0,0.8,0.0,0.0,False,0.7501852
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,validation,1,64,0.1,5,5,0,0.01270853053616558,0.012604629725032096,0.01602269093062939,0.01606684474148961,0.015725292760573,0.016084973138749317,0.014864222761530925,0.017372121250804104,0.8511400900853353,0.8624965503935222,1.0,1.0,1.673389355742297,6.693557422969188,53.5484593837535,12,13,38.246487858108914,9.561621964527228,1.0,1.0,1.0,1.0,0.0,0.0,False,1.3639031
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,validation,1,128,0.1,5,5,0,0.012597942572795211,0.012453839711212162,0.015895537820601793,0.015903468097078384,0.01573054287912922,0.016057073101545426,0.014981857456267463,0.016804747568988476,0.7047398564776065,0.7008766675128029,1.0,1.0,2.630252100840336,10.521008403361344,84.16806722689076,12,13,48.665132340539486,12.166283085134872,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6647923
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,validation,4,32,0.1,5,5,0,0.02383238514999706,0.023485170914765183,0.036184560932652376,0.035260468455931705,0.029265627823673254,0.03867040628667793,0.026521159972045533,0.051205142124933455,1.0193309778215813,0.984973632252412,1.0,1.0,1.2106442577030812,4.842577030812325,38.7406162464986,12,13,26.432456643799135,6.608114160949784,0.8,1.0,1.0,0.8,0.0,0.0,False,0.7494111
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,validation,4,64,0.1,5,5,0,0.019486861236985738,0.01925928727458367,0.027165123127441453,0.027298119774845545,0.026738938017508054,0.02754990679346882,0.02645894092367558,0.027779710127709273,0.48439684114007664,0.4881669471637548,1.0,1.0,1.6722689075630253,6.689075630252101,53.51260504201681,12,13,38.27221910899201,9.568054777248003,1.0,1.0,1.0,1.0,0.0,0.0,False,1.3779565
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,validation,4,128,0.1,5,5,0,0.021537030578052015,0.021540437406906678,0.03220413045036951,0.031619542278915114,0.03136572202341187,0.0330610079440951,0.02989147255128587,0.03508290745413961,0.43508651201999704,0.42552963224732454,1.0,1.0,2.6291316526610644,10.516526610644258,84.13221288515406,12,13,48.68577512362505,12.171443780906262,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6293417
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,validation,16,32,0.1,5,5,0,0.0994056283907337,0.08734144389728273,0.18585106141453575,0.1514797028294257,0.14467643570804098,0.25203852462885207,0.1099926963907645,0.27106794751559543,1.0404927621429836,0.8468225027394525,1.0,1.0,1.2106442577030812,4.842577030812325,38.7406162464986,12,13,26.432456643799135,6.608114160949784,0.6,1.0,1.0,0.6,0.0,0.0,False,0.7324082
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,validation,16,64,0.1,5,5,0,0.07725323594189322,0.07614064955572485,0.15062178546888066,0.15424986665189677,0.1450276468791417,0.15563319414322424,0.13754589106616427,0.16065232860397635,0.5779047657823476,0.5921877094048753,1.0,1.0,1.6649859943977592,6.659943977591037,53.279551820728294,12,13,38.43970146221256,9.60992536555314,1.0,1.0,1.0,1.0,0.0,0.0,False,1.3522455
vectorchain,absolute_geometry,"dt,dy,theta,r",reference,validation,16,128,0.1,5,5,0,0.08831849843693361,0.08904516914229461,0.17466432631281978,0.1798590883501977,0.16708506992843344,0.18084422120927546,0.16064837294579615,0.18488487913039617,0.5843551322640274,0.6016818741615058,1.0,1.0,2.6179271708683474,10.47170868347339,83.77366946778712,12,13,48.894105303965276,12.223526325991319,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6127138
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,1,32,0.1,5,5,0,0.014085648928111174,0.014432656968692314,0.01908644282774259,0.018969210406530015,0.016356013837465596,0.021563872298580845,0.014828701291207256,0.02371441630492924,1.1766855527241082,1.1003360364508916,1.160853261940047,1.0862207469433192,1.2229691876750701,7.33781512605042,58.70252100840336,18,19,26.165914559636764,4.360985759939462,0.4,1.0,1.0,0.4,0.2,0.2,False,0.7434194
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,1,64,0.1,5,5,0,0.013317995331463977,0.014268104516419852,0.017342795444950904,0.018200985142655956,0.016677381230497102,0.018325535941989973,0.013904955445266345,0.019605119464345136,0.8673976584676449,0.8625073991966717,1.1120682868931417,1.0711365207733035,1.6789915966386555,10.073949579831933,80.59159663865546,18,19,38.119887555673785,6.353314592612298,1.0,1.0,1.0,1.0,0.2,0.2,False,1.3643856
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,1,128,0.1,5,5,0,0.013260879433868897,0.01309844909254213,0.01682857177522199,0.01653991092156234,0.01635502697426767,0.016679888089288775,0.015393226729525778,0.01917480616146539,0.7214377909867424,0.7217249968144902,1.0780933451709125,1.0723239150624866,2.611764705882353,15.670588235294115,125.36470588235292,18,19,49.01015011707217,8.168358352845363,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6091013
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,4,32,0.1,5,5,0,0.022632337975466037,0.020599158123315236,0.03632649328265461,0.031344933001949085,0.028618101137671745,0.04192553507395549,0.024935191183430846,0.05480870601626589,0.9173461305456149,0.7899296202326804,0.9961924937871001,0.9728023808656514,1.2241758241758243,7.345054945054945,58.76043956043956,18,19,26.140120034595746,4.356686672432625,0.8,1.0,1.0,0.8,0.6,0.6,False,0.7264107
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,4,64,0.1,5,5,0,0.023604558572044427,0.02204424464032843,0.03733882248348862,0.03355288578774579,0.0320988749642637,0.03849200430267897,0.03194829465935329,0.050602052703401325,0.5954565746907788,0.5371289484317653,1.3265026455880062,1.225188356595334,1.6796703296703295,10.078021978021978,80.62417582417582,18,19,38.104414976858756,6.350735829476459,1.0,1.0,1.0,1.0,0.0,0.0,False,1.3881546
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,4,128,0.1,5,5,0,0.026337711616377463,0.026452827840823905,0.04047799189849523,0.040738126027967454,0.04021927880247294,0.04179784221323053,0.03757622359973589,0.04205848884906931,0.5213008717467924,0.5255924457670201,1.221446352850085,1.2387109017056563,2.6137362637362633,15.682417582417582,125.45934065934065,18,19,48.97313635857132,8.162189393095218,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6273607
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,16,32,0.1,5,5,0,0.08470304268109938,0.0834411308769084,0.16811562614974354,0.16577491271316147,0.1590621216821199,0.16625437976672292,0.09928027004956988,0.25020644653714347,0.8243093581060952,0.8126109646406822,0.94531986541066,1.0147404111313076,1.2241758241758243,7.345054945054945,58.76043956043956,18,19,26.140120034595746,4.356686672432625,0.8,1.0,1.0,0.8,0.4,0.4,False,0.7343627
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,16,64,0.1,5,5,0,0.11305882677578669,0.11181216679724186,0.2386562250483948,0.22661260548162296,0.21069853442733072,0.2337242632307404,0.19162020266086927,0.33062551944141066,0.8474575577176109,0.8072619775575014,1.4831114901985116,1.3778634001791574,1.6785714285714284,10.071428571428571,80.57142857142857,18,19,38.12999359973057,6.354998933288428,0.8,1.0,1.0,0.8,0.0,0.0,False,1.3829154
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,test,16,128,0.1,5,5,0,0.1270393202905742,0.12686976350694637,0.24314267609438822,0.2412635181916935,0.23652009365837845,0.24781938150744526,0.2360236923465391,0.2540866947678848,0.7945959987781853,0.7895044527016769,1.2158733378583793,1.1646133287383247,2.6142857142857143,15.685714285714287,125.4857142857143,18,19,48.962863355766544,8.16047722596109,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6438101
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,1,32,0.1,5,5,0,0.01462388650673147,0.014975042092519979,0.020033301424759713,0.020065764907477652,0.01645990318975225,0.02059187757280137,0.016249287792721234,0.02679967366104607,1.2493661823002327,1.2282730322024045,1.1893770864069784,1.0912835150015094,1.2106442577030812,7.263865546218487,58.1109243697479,18,19,26.432456643799135,4.405409440633189,0.4,1.0,1.0,0.4,0.0,0.0,False,0.7434194
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,1,64,0.1,5,5,0,0.0137785070379774,0.014118076432226739,0.017830668286268177,0.017849775823312406,0.017147000384252913,0.018960434564671322,0.015551942742632632,0.019644187916471607,0.9481977966374397,0.9917180310000405,1.1142839712623989,1.1535753102832855,1.673389355742297,10.040336134453781,80.32268907563025,18,19,38.246487858108914,6.374414643018153,1.0,1.0,1.0,1.0,0.2,0.2,False,1.3643856
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,1,128,0.1,5,5,0,0.013118567960330507,0.012802474444607017,0.016647972540180335,0.016328107247472433,0.016021439995389426,0.017139706152864215,0.015099387662214045,0.018651221642961558,0.7374094863451476,0.7092798025595616,1.046110507380663,1.0379875235670373,2.630252100840336,15.78151260504202,126.25210084033615,18,19,48.665132340539486,8.110855390089915,1.0,1.0,1.0,1.0,0.0,0.0,False,2.6091013
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,4,32,0.1,5,5,0,0.02379269483623169,0.023453832364506037,0.037750705961288177,0.0373802570705155,0.02852976723104071,0.04264731983238069,0.024176164263228144,0.056020021409275866,1.0632406656413744,1.033841307359072,1.0313196647228795,0.9748558070557674,1.2106442577030812,7.263865546218487,58.1109243697479,18,19,26.432456643799135,4.405409440633189,0.6,1.0,1.0,0.6,0.6,0.6,False,0.7264107
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,4,64,0.1,5,5,0,0.022543369623900758,0.022110933789715966,0.03367491681921305,0.03375169318034567,0.028546535050382738,0.03532583481575041,0.02634920551731602,0.04440131553227044,0.6002449034039878,0.6028927855654455,1.2378736869026388,1.21497643514572,1.6722689075630253,10.033613445378151,80.26890756302521,18,19,38.27221910899201,6.378703184832003,1.0,1.0,1.0,1.0,0.2,0.0,False,1.3881546
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,4,128,0.1,5,5,0,0.023855463279694362,0.02308183845744213,0.03574404441330027,0.0353154711537238,0.03483803793493245,0.03703122815878281,0.033645193140475343,0.037890291678586936,0.4828073069323694,0.47864067955721046,1.114328158686393,1.1654841652635073,2.6291316526610644,15.774789915966386,126.19831932773108,18,19,48.68577512362505,8.114295853937508,1.0,1.0,1.0,1.0,0.2,0.2,False,2.6273607
vectorchain,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,validation,16,32,0.1,5,5,0,0.09145795031888651,0.09259541265556641,0.17118295813220757,0.17014564813620378,0.15707400805347174,0.17176420275055132,0.09813117219279381,0.2587997595280171,0.9584393045578403,0.9511714169862859,0.9617809300361762,1.0268261961504557,1.2106442577030812,7.263865546218487,58.1109243697479,18,19,26.432456643799135,4.405409440633189,0.8,1.0,1.0,0.8,0.4,0.4,False,0.7343627
