seed,horizon,context_length,tolerance,variant,features,n_examples,step_signature_sha256,matches_reference
1729,1,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1568,b5e7df244b8b5ff6eef7ce4c019f42230f2020109c31b4912716fa39300e0435,True
1729,4,128,0.1,segment,"dt,dy",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
1729,4,128,0.1,absolute_geometry,"dt,dy,theta,r",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
1729,4,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
1729,4,128,0.1,turning,"dt,dy,theta,r,delta_theta",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
1729,4,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1568,75f70f6ac1f10f7a5df50f2c805fd7e0dc8a1280a39aa86865649a1df872d9b0,True
1729,16,128,0.1,segment,"dt,dy",1547,83c7ecedf716290d9a0497bc51a38522d12c958d64e0c52ae16b4ed8c65fd9e8,True
1729,16,128,0.1,absolute_geometry,"dt,dy,theta,r",1547,83c7ecedf716290d9a0497bc51a38522d12c958d64e0c52ae16b4ed8c65fd9e8,True
1729,16,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1547,83c7ecedf716290d9a0497bc51a38522d12c958d64e0c52ae16b4ed8c65fd9e8,True
1729,16,128,0.1,turning,"dt,dy,theta,r,delta_theta",1547,83c7ecedf716290d9a0497bc51a38522d12c958d64e0c52ae16b4ed8c65fd9e8,True
1729,16,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1547,83c7ecedf716290d9a0497bc51a38522d12c958d64e0c52ae16b4ed8c65fd9e8,True
2718,1,32,0.1,segment,"dt,dy",1736,5c33206a085ad2113dcda6e02f702b2729413d566a088a394dc23d38a9dd8763,True
2718,1,32,0.1,absolute_geometry,"dt,dy,theta,r",1736,5c33206a085ad2113dcda6e02f702b2729413d566a088a394dc23d38a9dd8763,True
2718,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1736,5c33206a085ad2113dcda6e02f702b2729413d566a088a394dc23d38a9dd8763,True
2718,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",1736,5c33206a085ad2113dcda6e02f702b2729413d566a088a394dc23d38a9dd8763,True
2718,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1736,5c33206a085ad2113dcda6e02f702b2729413d566a088a394dc23d38a9dd8763,True
2718,4,32,0.1,segment,"dt,dy",1736,3ab5cdd154fab11d16a8542d0a69b17a7e1dca59332e449710aeb2149119d5a6,True
2718,4,32,0.1,absolute_geometry,"dt,dy,theta,r",1736,3ab5cdd154fab11d16a8542d0a69b17a7e1dca59332e449710aeb2149119d5a6,True
2718,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1736,3ab5cdd154fab11d16a8542d0a69b17a7e1dca59332e449710aeb2149119d5a6,True
2718,4,32,0.1,turning,"dt,dy,theta,r,delta_theta",1736,3ab5cdd154fab11d16a8542d0a69b17a7e1dca59332e449710aeb2149119d5a6,True
2718,4,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1736,3ab5cdd154fab11d16a8542d0a69b17a7e1dca59332e449710aeb2149119d5a6,True
2718,16,32,0.1,segment,"dt,dy",1715,0f8ae115afaac985970df6e31a2c844e1bc6606e1f82b2448739644d4b52344f,True
2718,16,32,0.1,absolute_geometry,"dt,dy,theta,r",1715,0f8ae115afaac985970df6e31a2c844e1bc6606e1f82b2448739644d4b52344f,True
2718,16,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1715,0f8ae115afaac985970df6e31a2c844e1bc6606e1f82b2448739644d4b52344f,True
2718,16,32,0.1,turning,"dt,dy,theta,r,delta_theta",1715,0f8ae115afaac985970df6e31a2c844e1bc6606e1f82b2448739644d4b52344f,True
2718,16,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1715,0f8ae115afaac985970df6e31a2c844e1bc6606e1f82b2448739644d4b52344f,True
2718,1,64,0.1,segment,"dt,dy",1680,1ecaeb6fe1675b18706be89983317644023831c4f92f0d90aa09c95fea9ed63b,True
