condition_id,seed,horizon,context_length,tolerance,variant,features,role,representation,split,signal,n_examples,mae,rmse,rmse_ratio_vs_reference
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,test,piecewise_linear,51,0.0093457146243537,0.010946642704476133,1.0007944594379117
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,test,first_order_response,51,0.01046246056786908,0.01250784830457713,1.001015183465396
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,test,second_order_response,51,0.0113174128067197,0.014226337701939082,1.0003014045419212
seed-1729__h-1__c-32__segment,1729,1,32,0.1,segment,"dt,dy",secondary,vectorchain,test,regime_change,51,0.028518693682675005,0.0351867941863674,1.3557334420267688
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,sine,51,0.011715705565158085,0.014909010979222153,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,chirp,51,0.014777644569560664,0.017681081522855167,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,ramp,51,0.011465026421894587,0.013931150655900306,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,piecewise_linear,51,0.014190224186208283,0.01731463815212381,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,first_order_response,51,0.01060944751802994,0.014047961310427876,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,second_order_response,51,0.010936355811390845,0.01381172091040816,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,regime_change,51,0.01626474720797642,0.020666205465575453,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,sine,51,0.011335674295117126,0.014780491935814252,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,chirp,51,0.016829039458078038,0.020646723125405848,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,ramp,51,0.01138301333234431,0.014155041592907876,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,piecewise_linear,51,0.009336806597899237,0.01093795294452792,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,first_order_response,51,0.010447414497526371,0.012495163421274432,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,second_order_response,51,0.011312905863303807,0.01422205111113875,1.0
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,regime_change,51,0.02136237244655472,0.025954065228164992,1.0
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,sine,51,0.011675788767925667,0.014887943998605402,0.9985869632367894
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,chirp,51,0.013096738158675786,0.016361756643201896,0.925382116588973
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,ramp,51,0.011452751516649306,0.013916546708602913,0.9989517055943108
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,piecewise_linear,51,0.014188193013326798,0.017310603269595142,0.9997669669736544
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,first_order_response,51,0.01059981990683236,0.014036720606199208,0.9991998337708744
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,second_order_response,51,0.010952964537831268,0.01382818372414137,1.0011919451486166
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,regime_change,51,0.01642974963317093,0.02108834070904438,1.0204263547157748
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,sine,51,0.011355517252574918,0.014802377612528547,1.0014807136872939
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,chirp,51,0.016196012775048403,0.02005671542734008,0.9714236639643914
