condition_id,seed,horizon,context_length,tolerance,variant,features,role,representation,split,status,error_type,error_message,n_examples,n_representation_features,n_pooled_features,n_model_parameters,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw,scalar_reduction_factor_vs_raw,mae,rmse,rmse_ratio_vs_raw,predictive_parity_vs_raw,structural_reduction_success,payload_reduction_success,joint_success,representation_runtime_s,train_runtime_median_s,train_runtime_q1_s,train_runtime_q3_s,inference_runtime_median_s,inference_runtime_q1_s,inference_runtime_q3_s,train_design_bytes,model_state_bytes,rmse_ratio_vs_reference,beats_reference,practical_improvement_vs_reference
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,validation,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.023586965403255885,0.035144642152991484,1.0,,,,,0.0642169,0.0002965,0.0002965,0.0002965,2.86e-05,2.86e-05,2.86e-05,24360,80,,,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,test,ok,,,364,1,3,4,32.0,32.0,256.0,1.0,1.0,0.027271444602722433,0.03948178938534824,1.0,,,,,0.0642169,0.0002965,0.0002965,0.0002965,2.97e-05,2.97e-05,2.97e-05,24360,80,,,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,validation,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.032279364053142225,0.0520039699574121,1.4797126040159598,,,,,0.0765613,0.0002346,0.0002346,0.0002346,2.82e-05,2.82e-05,2.82e-05,24360,80,,,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,test,ok,,,364,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.03581588823381632,0.057447486972918134,1.4550375721885844,,,,,0.0765613,0.0002346,0.0002346,0.0002346,3.19e-05,3.19e-05,3.19e-05,24360,80,,,
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,ok,,,357,2,6,7,1.2044817927170868,2.4089635854341735,19.27170868347339,26.567441860465117,13.283720930232558,0.03497154142676473,0.06629306084380587,1.8862920998091044,False,True,True,False,0.753649,0.0002591,0.0002591,0.0002591,3.12e-05,3.12e-05,3.12e-05,48720,152,2.499629009955887,False,False
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,test,ok,,,364,2,6,7,1.2252747252747254,2.4505494505494507,19.604395604395606,26.11659192825112,13.05829596412556,0.035145753804504604,0.06845347033569323,1.7337985790759631,False,True,True,False,0.753649,0.0002591,0.0002591,0.0002591,3.34e-05,3.34e-05,3.34e-05,48720,152,2.4349001686274585,False,False
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,ok,,,357,4,12,13,1.2044817927170868,4.817927170868347,38.54341736694678,26.567441860465117,6.641860465116279,0.019233180255388952,0.026521159972045533,0.7546288238358994,True,True,True,True,0.7773499,0.0005358,0.0005358,0.0005358,3.96e-05,3.96e-05,3.96e-05,97440,296,1.0,False,False
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,ok,,,364,4,12,13,1.2252747252747254,4.9010989010989015,39.20879120879121,26.11659192825112,6.52914798206278,0.019781198232298746,0.028113460756085173,0.7120614641270065,True,True,True,True,0.7773499,0.0005358,0.0005358,0.0005358,4.66e-05,4.66e-05,4.66e-05,97440,296,1.0,False,False
seed-1729__h-4__c-32__turning_matched,1729,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,ok,,,357,4,12,13,1.2044817927170868,4.817927170868347,38.54341736694678,26.567441860465117,6.641860465116279,0.017522063981743136,0.0234875174007315,0.668310045624757,True,True,True,True,0.8952483,0.0004947,0.0004947,0.0004947,3.68e-05,3.68e-05,3.68e-05,97440,296,0.885614257652696,True,True
seed-1729__h-4__c-32__turning_matched,1729,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,ok,,,364,4,12,13,1.2252747252747254,4.9010989010989015,39.20879120879121,26.11659192825112,6.52914798206278,0.017575683447925768,0.02467397022396014,0.624945591577384,True,True,True,True,0.8952483,0.0004947,0.0004947,0.0004947,4.51e-05,4.51e-05,4.51e-05,97440,296,0.8776568078200563,True,True
