representation,role,causal_scope,split,horizon,context_length,signal,n_seeds,rmse_mean,rmse_median,candidate_rmse_ratio_vs_control_mean,candidate_rmse_ratio_vs_control_median
abba_geometry,external_control,window_offline,test,1,32,chirp,5,0.025521311917886723,0.025725792586104742,0.7504292053189128,0.7321742541954962
abba_geometry,external_control,window_offline,test,1,32,first_order_response,5,0.013867355622486394,0.013976274059825817,1.001097366240847,1.000867555794489
abba_geometry,external_control,window_offline,test,1,32,piecewise_linear,5,0.013491993824482646,0.013551920206230568,0.9994557221127607,0.9990259512232007
abba_geometry,external_control,window_offline,test,1,32,ramp,5,0.013657700722685934,0.013991341851587277,1.001287885182979,1.0013088644196513
abba_geometry,external_control,window_offline,test,1,32,regime_change,5,0.028864958680665676,0.029263233323374483,0.8137431697869524,0.7628691713171187
abba_geometry,external_control,window_offline,test,1,32,second_order_response,5,0.013969192066936378,0.013153120426635873,1.0007727354495604,1.0000494195717158
abba_geometry,external_control,window_offline,test,1,32,sine,5,0.014857820081116519,0.014727968134425827,0.9930325571261678,0.9937732358613682
abba_geometry,external_control,window_offline,test,1,64,chirp,5,0.06334910959825843,0.03139360997701484,0.47765061088721816,0.6559669238148749
abba_geometry,external_control,window_offline,test,1,64,first_order_response,5,0.013760606264240754,0.013842697188344426,1.0027572365441997,1.0034866595453926
abba_geometry,external_control,window_offline,test,1,64,piecewise_linear,5,0.013418192539124244,0.013497274640483442,1.0010404646750402,1.0013821215046308
abba_geometry,external_control,window_offline,test,1,64,ramp,5,0.013613671450239919,0.013921808047473293,0.9989234161903295,0.9980843389542778
abba_geometry,external_control,window_offline,test,1,64,regime_change,5,0.0838863511404104,0.024108696905086466,0.5552715491451297,0.8171533653506553
abba_geometry,external_control,window_offline,test,1,64,second_order_response,5,0.013840248947107036,0.013029324292835464,1.0046460236776862,1.0025774284239608
abba_geometry,external_control,window_offline,test,1,64,sine,5,0.016388279525452173,0.01602211160734969,0.8978414215834668,0.9166886697899923
abba_geometry,external_control,window_offline,test,1,128,chirp,5,0.028405349522956435,0.026911187331248827,0.6769553294279331,0.7837342383116039
