condition_id,seed,horizon,context_length,tolerance,role,causal_scope,selected_parameter,representation,split,signal,n_examples,mae,rmse,candidate_rmse_ratio_vs_control
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,candidate,strict_online,,absolute_geometry,test,piecewise_linear,51,0.009336806597899237,0.01093795294452792,
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,candidate,strict_online,,absolute_geometry,test,first_order_response,51,0.010447414497526371,0.012495163421274432,
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,candidate,strict_online,,absolute_geometry,test,second_order_response,51,0.011312905863303807,0.01422205111113875,
seed-1729__h-1__c-32__absolute_geometry,1729,1,32,0.1,candidate,strict_online,,absolute_geometry,test,regime_change,51,0.02136237244655472,0.025954065228164992,
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,validation,sine,51,0.010893559878785332,0.01420413987281207,1.0496243428128489
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,validation,chirp,51,0.0172676988340531,0.020680015425698084,0.8549839619985833
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,validation,ramp,51,0.009858331959656042,0.012512065559043275,1.1134173322670426
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,validation,piecewise_linear,51,0.012424743405418468,0.01512143327843372,1.1450394835797775
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,validation,first_order_response,51,0.008634471951756458,0.011995147873238443,1.171136984627703
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,validation,second_order_response,51,0.009141423920136178,0.011277257666096245,1.2247410956948765
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,validation,regime_change,51,0.03048581665424252,0.03445669989949822,0.5997732088636964
