representation,split,horizon,context_length,tolerance,signal,n_seeds,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max
first_difference,test,1,32,,chirp,5,0.026284817649074976,0.026191311200235445,0.031038202029997075,0.030218612574925682,0.03013968811844276,0.03164615793348347,0.02994299309296997,0.033243558430163495
first_difference,test,1,32,,first_order_response,5,0.009761158418209216,0.009035019069188768,0.01199731931048579,0.011738500723680826,0.011141587786305356,0.012732310849769314,0.011008123947193516,0.013366073245479936
first_difference,test,1,32,,piecewise_linear,5,0.009526560214098955,0.009134287949809718,0.01168775325416861,0.010761072396630909,0.010651251171822257,0.013393737887155905,0.010144438906045694,0.013488265909188288
first_difference,test,1,32,,ramp,5,0.009938698469659115,0.010537594753546625,0.012221636991702025,0.012655272441142264,0.011731368449337257,0.012951251773906613,0.010776556702328664,0.012993735591795334
first_difference,test,1,32,,regime_change,5,0.031773704973289345,0.031192847603020074,0.03624166648216727,0.035197164775096094,0.03507072433765254,0.03751910205226301,0.034300203361715624,0.0391211378841091
first_difference,test,1,32,,second_order_response,5,0.00994019896888539,0.009932647190390484,0.012673897734810962,0.01210420927688505,0.011816995534912436,0.01336356236829298,0.011164855749270574,0.014919865744693776
first_difference,test,1,32,,sine,5,0.010783093576064448,0.0108047669272335,0.013584969361552752,0.013745191423862449,0.013180509753628913,0.01395432959434367,0.012003633458876005,0.01504118257705271
first_difference,test,1,64,,chirp,5,0.037011426937181555,0.03671646521295838,0.04267254980756613,0.04261962429716803,0.04156510143964024,0.0435738852029126,0.04074046119623656,0.044863676901873206
first_difference,test,1,64,,first_order_response,5,0.010340180903041401,0.009703030613445508,0.012598310505782634,0.012567431170930652,0.011374166337012796,0.013580431992989318,0.011122895784048792,0.014346627243931605
first_difference,test,1,64,,piecewise_linear,5,0.009976066492569472,0.00944748778825286,0.012222676684288924,0.011871358296452484,0.011059970144685793,0.013654021400292773,0.010222303442826522,0.014305730137187049
first_difference,test,1,64,,ramp,5,0.010232108884984006,0.010524487754158601,0.012547697104072556,0.013065130302660532,0.012103885186191436,0.01330667837065006,0.010616217615883682,0.013646574044977072
first_difference,test,1,64,,regime_change,5,0.045102620795400256,0.04530820413887062,0.05127621005155306,0.05115262014240479,0.05030897347258713,0.053425641365017665,0.047422219342758205,0.0540715959349975
first_difference,test,1,64,,second_order_response,5,0.010205956976174347,0.010165974648030051,0.012930027275282474,0.012338232671729819,0.011954550571284658,0.013660532762564492,0.01137239808519507,0.015324422285638331
first_difference,test,1,64,,sine,5,0.012603254630861371,0.011979321472475107,0.015973939443856312,0.015363575562806238,0.015040938010452714,0.0164515647613449,0.01503888032465903,0.0179747385600187
first_difference,test,1,128,,chirp,5,0.032767130904499286,0.03212913548233515,0.03771898772203795,0.03690169647173633,0.03639996870320099,0.03906875247035795,0.03580320663877985,0.04042131432611465
first_difference,test,1,128,,first_order_response,5,0.011203703978338397,0.010226610820123737,0.01356825056418932,0.013392911622693847,0.012240721030342417,0.014892834702265883,0.011351137994460154,0.015963647471184315
first_difference,test,1,128,,piecewise_linear,5,0.010888033832717598,0.010710258773888445,0.013240798105539723,0.013200190639552033,0.011795781643622464,0.014553665534823878,0.010890293345290503,0.015764059364409735
first_difference,test,1,128,,ramp,5,0.010939826780216969,0.011158844340981366,0.013423232315348041,0.013763934528811871,0.013109214866546455,0.013904365694907791,0.01137165946999625,0.01496698701647784
first_difference,test,1,128,,regime_change,5,0.03454147636012899,0.03600659700360149,0.0392342765349651,0.04075593234091536,0.039288948377800476,0.041075283070658004,0.03385847966897081,0.041192739216480825
first_difference,test,1,128,,second_order_response,5,0.010854659173559234,0.010376583762886193,0.013671079586118828,0.012979875794106996,0.01249746654642581,0.014236482951091747,0.012192367993911579,0.01644920464505802
first_difference,test,1,128,,sine,5,0.015986180013244866,0.016423953039604137,0.019873875731785885,0.020133974841952798,0.018704759485477493,0.020321063039824654,0.01813406329596035,0.022075517995714132
first_difference,test,4,32,,chirp,5,0.08319919151561433,0.08391300288387334,0.09376561602969856,0.09400754093880637,0.09365759999969357,0.0947867263725535,0.09151005972569388,0.09486615311174545
first_difference,test,4,32,,first_order_response,5,0.01202966881792677,0.012142436002255728,0.015143591636524767,0.015202468269831617,0.01353112997642523,0.016268784584834314,0.011991551235792677,0.018724024115739993
first_difference,test,4,32,,piecewise_linear,5,0.011564503534780907,0.01192928409742585,0.014456632978733014,0.014435727430695582,0.01382502164571395,0.015536743999451014,0.012937962500772086,0.015547709317032431
first_difference,test,4,32,,ramp,5,0.010721785729024519,0.010461544478296954,0.013261095418179497,0.013703587172204748,0.012105407538280086,0.014249059761940248,0.010211738114436446,0.016035684504035953
first_difference,test,4,32,,regime_change,5,0.1029695215322168,0.10294018863726456,0.11371569252482268,0.11359764831245096,0.1122113316079615,0.11503106825157526,0.11173079239847798,0.1160076220536477
first_difference,test,4,32,,second_order_response,5,0.012499162668008235,0.012376717453224845,0.015613333471470398,0.01594438605100599,0.015541843151055642,0.016119133363912283,0.014153421003776454,0.016307883787601625
first_difference,test,4,32,,sine,5,0.01865892494526928,0.01874845753778755,0.022822788983810464,0.023109555725616255,0.022611762854490288,0.023304749898702,0.02136006838627049,0.023727808053973277
first_difference,test,4,64,,chirp,5,0.11383463883664931,0.11475330426800179,0.1292278553677633,0.13021880310757425,0.12840837344980294,0.13062122489386213,0.1252057011928646,0.1316851741947126
first_difference,test,4,64,,first_order_response,5,0.014679834772749973,0.01399135908378175,0.018468921625993655,0.017099246575774864,0.016994313166316485,0.020866683996467728,0.014848661801629973,0.022535702589779223
first_difference,test,4,64,,piecewise_linear,5,0.014097579925624262,0.013844716384649266,0.017740928074221545,0.017245864319946624,0.01694112690393926,0.018482535474701058,0.016362284466429778,0.019672829206091015
first_difference,test,4,64,,ramp,5,0.01334012891494124,0.013625538960093176,0.016405720038799112,0.01610177925222955,0.01541427020139693,0.017911082814850824,0.012795952416414886,0.019805515509103373
