condition_id,seed,horizon,context_length,tolerance,representation,split,status,error_type,error_message,n_examples,n_representation_features,n_pooled_features,n_model_parameters,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw,scalar_reduction_factor_vs_raw,mae,rmse,rmse_ratio_vs_raw,predictive_parity_vs_raw,structural_reduction_success,payload_reduction_success,joint_success,representation_runtime_s,train_runtime_median_s,train_runtime_q1_s,train_runtime_q3_s,inference_runtime_median_s,inference_runtime_q1_s,inference_runtime_q3_s,train_design_bytes,model_state_bytes
seed-1729__h-1__c-128__tol-0p1__vectorchain,1729,1,128,0.1,vectorchain,test,ok,,,357,5,15,16,2.61624649859944,13.081232492997199,104.64985994397759,48.92505353319058,9.785010706638117,0.013467018042139461,0.017204414357445293,0.7512899507223878,True,True,True,True,2.6273199,0.0005083,0.0005083,0.0005083,6.49e-05,6.49e-05,6.49e-05,102480,368
seed-1729__h-4__c-128__tol-na__raw,1729,4,128,,raw,validation,ok,,,357,1,3,4,128.0,128.0,1024.0,1.0,1.0,0.044101826979307195,0.07402505713511623,1.0,,,,,0.0564268,0.0002422,0.0002422,0.0002422,3.99e-05,3.99e-05,3.99e-05,20328,80
seed-1729__h-4__c-128__tol-na__raw,1729,4,128,,raw,test,ok,,,364,1,3,4,128.0,128.0,1024.0,1.0,1.0,0.04716952242011778,0.07745543912480651,1.0,,,,,0.0564268,0.0002422,0.0002422,0.0002422,2.79e-05,2.79e-05,2.79e-05,20328,80
seed-1729__h-4__c-128__tol-na__first_difference,1729,4,128,,first_difference,validation,ok,,,357,1,3,4,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,0.0446080563693272,0.06528029161317034,0.8818674937868096,,,,,0.0605796,0.0002135,0.0002135,0.0002135,2.76e-05,2.76e-05,2.76e-05,20328,80
seed-1729__h-4__c-128__tol-na__first_difference,1729,4,128,,first_difference,test,ok,,,364,1,3,4,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,0.04400317883378237,0.0651742495102562,0.8414418696308568,,,,,0.0605796,0.0002135,0.0002135,0.0002135,3.31e-05,3.31e-05,3.31e-05,20328,80
seed-1729__h-4__c-128__tol-0p01__vectorchain,1729,4,128,0.01,vectorchain,validation,ok,,,357,5,15,16,67.54341736694678,337.7170868347339,2701.736694677871,1.895077344171194,0.3790154688342388,0.03250373606697728,0.04640069734516595,0.6268242017087785,True,False,False,False,8.4254598,0.0003843,0.0003843,0.0003843,4.89e-05,4.89e-05,4.89e-05,101640,368
seed-1729__h-4__c-128__tol-0p01__vectorchain,1729,4,128,0.01,vectorchain,test,ok,,,364,5,15,16,66.60164835164835,333.00824175824175,2664.065934065934,1.9218743554840574,0.38437487109681145,0.03315760478844067,0.04856328825728289,0.6269835766992587,True,False,False,False,8.4254598,0.0003843,0.0003843,0.0003843,4.33e-05,4.33e-05,4.33e-05,101640,368
seed-1729__h-4__c-128__tol-0p03__vectorchain,1729,4,128,0.03,vectorchain,validation,ok,,,357,5,15,16,11.095238095238095,55.476190476190474,443.8095238095238,11.53648068669528,2.3072961373390557,0.032436618269244134,0.04863189371419394,0.6569652979183422,True,True,True,True,2.9770089,0.0004228,0.0004228,0.0004228,4.15e-05,4.15e-05,4.15e-05,101640,368
seed-1729__h-4__c-128__tol-0p03__vectorchain,1729,4,128,0.03,vectorchain,test,ok,,,364,5,15,16,11.098901098901099,55.494505494505496,443.95604395604397,11.532673267326732,2.3065346534653464,0.03458024539552123,0.052218333168174584,0.6741725792043275,True,True,True,True,2.9770089,0.0004228,0.0004228,0.0004228,3.83e-05,3.83e-05,3.83e-05,101640,368
seed-1729__h-4__c-128__tol-0p1__vectorchain,1729,4,128,0.1,vectorchain,validation,ok,,,357,5,15,16,2.627450980392157,13.137254901960784,105.09803921568627,48.71641791044776,9.743283582089553,0.023173242902950607,0.03527219645270353,0.4764899591812811,True,True,True,True,2.6220009,0.0004107,0.0004107,0.0004107,4.03e-05,4.03e-05,4.03e-05,101640,368
seed-1729__h-4__c-128__tol-0p1__vectorchain,1729,4,128,0.1,vectorchain,test,ok,,,364,5,15,16,2.618131868131868,13.090659340659341,104.72527472527473,48.889821615949636,9.777964323189925,0.027370656218817183,0.04167445869494322,0.5380443151034465,True,True,True,True,2.6220009,0.0004107,0.0004107,0.0004107,4.51e-05,4.51e-05,4.51e-05,101640,368
seed-1729__h-16__c-128__tol-na__raw,1729,16,128,,raw,validation,ok,,,357,1,3,4,128.0,128.0,1024.0,1.0,1.0,0.1713622520101355,0.29935926822130265,1.0,,,,,0.0562804,0.0002483,0.0002483,0.0002483,2.85e-05,2.85e-05,2.85e-05,19824,80
seed-1729__h-16__c-128__tol-na__raw,1729,16,128,,raw,test,ok,,,364,1,3,4,128.0,128.0,1024.0,1.0,1.0,0.17990204832079998,0.30595235397035986,1.0,,,,,0.0562804,0.0002483,0.0002483,0.0002483,2.94e-05,2.94e-05,2.94e-05,19824,80
seed-1729__h-16__c-128__tol-na__first_difference,1729,16,128,,first_difference,validation,ok,,,357,1,3,4,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,0.16062538794836606,0.24572423735350973,0.8208339057398317,,,,,0.0645621,0.0002115,0.0002115,0.0002115,2.74e-05,2.74e-05,2.74e-05,19824,80
seed-1729__h-16__c-128__tol-na__first_difference,1729,16,128,,first_difference,test,ok,,,364,1,3,4,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,0.15572420899641606,0.2383128069616963,0.7789213054552397,,,,,0.0645621,0.0002115,0.0002115,0.0002115,5.93e-05,5.93e-05,5.93e-05,19824,80
seed-1729__h-16__c-128__tol-0p01__vectorchain,1729,16,128,0.01,vectorchain,validation,ok,,,357,5,15,16,67.45378151260505,337.2689075630252,2698.1512605042017,1.8975956148000497,0.37951912296000995,0.11689835242564495,0.1765900461956185,0.5898933654029163,True,False,False,False,8.3300089,0.0004397,0.0004397,0.0004397,4.34e-05,4.34e-05,4.34e-05,99120,368
seed-1729__h-16__c-128__tol-0p01__vectorchain,1729,16,128,0.01,vectorchain,test,ok,,,364,5,15,16,66.96153846153847,334.8076923076923,2678.4615384615386,1.9115450890292933,0.3823090178058587,0.12691626101713202,0.19482432331613142,0.6367799455957305,True,False,False,False,8.3300089,0.0004397,0.0004397,0.0004397,4.88e-05,4.88e-05,4.88e-05,99120,368
seed-1729__h-16__c-128__tol-0p03__vectorchain,1729,16,128,0.03,vectorchain,validation,ok,,,357,5,15,16,10.994397759103641,54.97198879551821,439.77591036414566,11.642292993630573,2.328458598726115,0.12593161083323842,0.21159524212283748,0.7068270956836211,True,True,True,True,3.0606203,0.0003944,0.0003944,0.0003944,3.88e-05,3.88e-05,3.88e-05,99120,368
seed-1729__h-16__c-128__tol-0p03__vectorchain,1729,16,128,0.03,vectorchain,test,ok,,,364,5,15,16,11.255494505494505,56.277472527472526,450.2197802197802,11.372223578227972,2.2744447156455943,0.12983808632022167,0.22066631314847546,0.7212440443254547,True,True,True,True,3.0606203,0.0003944,0.0003944,0.0003944,3.76e-05,3.76e-05,3.76e-05,99120,368
seed-1729__h-16__c-128__tol-0p1__vectorchain,1729,16,128,0.1,vectorchain,validation,ok,,,357,5,15,16,2.619047619047619,13.095238095238095,104.76190476190476,48.872727272727275,9.774545454545455,0.11524161685330882,0.21512849552625457,0.7186298149527139,True,True,True,True,2.6104709,0.0005147,0.0005147,0.0005147,0.0001022,0.0001022,0.0001022,99120,368
seed-1729__h-16__c-128__tol-0p1__vectorchain,1729,16,128,0.1,vectorchain,test,ok,,,364,5,15,16,2.618131868131868,13.090659340659341,104.72527472527473,48.889821615949636,9.777964323189925,0.1345556855810388,0.25900790881763175,0.8465628894710971,True,True,True,True,2.6104709,0.0005147,0.0005147,0.0005147,5e-05,5e-05,5e-05,99120,368
seed-2718__h-1__c-32__tol-na__raw,2718,1,32,,raw,validation,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.013268440412473562,0.016738412021083376,1.0,,,,,0.0684917,0.0002399,0.0002399,0.0002399,3.22e-05,3.22e-05,3.22e-05,24528,80
seed-2718__h-1__c-32__tol-na__raw,2718,1,32,,raw,test,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.013179500674808955,0.016248629368978786,1.0,,,,,0.0684917,0.0002399,0.0002399,0.0002399,2.85e-05,2.85e-05,2.85e-05,24528,80
seed-2718__h-1__c-32__tol-na__first_difference,2718,1,32,,first_difference,validation,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.01485448252404726,0.01996300102383463,1.1926460526058043,,,,,0.0678046,0.0002284,0.0002284,0.0002284,2.79e-05,2.79e-05,2.79e-05,24528,80
seed-2718__h-1__c-32__tol-na__first_difference,2718,1,32,,first_difference,test,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.015424005575431433,0.02032896912979367,1.2511190124506688,,,,,0.0678046,0.0002284,0.0002284,0.0002284,3.47e-05,3.47e-05,3.47e-05,24528,80
seed-2718__h-1__c-32__tol-0p01__vectorchain,2718,1,32,0.01,vectorchain,validation,ok,,,357,5,15,16,17.50980392156863,87.54901960784314,700.3921568627451,1.8275475923852182,0.36550951847704366,0.014544547049611533,0.019550391805921562,1.1679956128034292,False,False,False,False,2.1030335,0.0005283,0.0005283,0.0005283,4.09e-05,4.09e-05,4.09e-05,122640,368
seed-2718__h-1__c-32__tol-0p01__vectorchain,2718,1,32,0.01,vectorchain,test,ok,,,357,5,15,16,17.03361344537815,85.16806722689076,681.344537815126,1.8786383818450914,0.37572767636901827,0.01490055527585517,0.020294111865309227,1.2489737690770344,False,False,False,False,2.1030335,0.0005283,0.0005283,0.0005283,3.68e-05,3.68e-05,3.68e-05,122640,368
seed-2718__h-1__c-32__tol-0p03__vectorchain,2718,1,32,0.03,vectorchain,validation,ok,,,357,5,15,16,3.5938375350140057,17.969187675070028,143.75350140056022,8.904130943102103,1.7808261886204209,0.01545310209638573,0.0205578634729616,1.2281848150868384,False,True,True,False,0.927391,0.0004128,0.0004128,0.0004128,4.48e-05,4.48e-05,4.48e-05,122640,368
seed-2718__h-1__c-32__tol-0p03__vectorchain,2718,1,32,0.03,vectorchain,test,ok,,,357,5,15,16,3.1624649859943976,15.81232492997199,126.49859943977592,10.118689105403012,2.0237378210806023,0.015342689087818145,0.01987028873218989,1.2228901454374623,False,True,True,False,0.927391,0.0004128,0.0004128,0.0004128,3.69e-05,3.69e-05,3.69e-05,122640,368
seed-2718__h-1__c-32__tol-0p1__vectorchain,2718,1,32,0.1,vectorchain,validation,ok,,,357,5,15,16,1.2156862745098038,6.078431372549019,48.627450980392155,26.322580645161292,5.264516129032258,0.01610452250568473,0.02331060076800823,1.392641114261416,False,True,True,False,0.7422732,0.0004294,0.0004294,0.0004294,3.81e-05,3.81e-05,3.81e-05,122640,368
seed-2718__h-1__c-32__tol-0p1__vectorchain,2718,1,32,0.1,vectorchain,test,ok,,,357,5,15,16,1.2212885154061626,6.106442577030812,48.851540616246496,26.20183486238532,5.240366972477065,0.014750304967037714,0.019907093578083564,1.2251552500846237,False,True,True,False,0.7422732,0.0004294,0.0004294,0.0004294,4.28e-05,4.28e-05,4.28e-05,122640,368
seed-2718__h-4__c-32__tol-na__raw,2718,4,32,,raw,validation,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.025728501286578765,0.03615666815055268,1.0,,,,,0.0614732,0.0002628,0.0002628,0.0002628,2.84e-05,2.84e-05,2.84e-05,24360,80
seed-2718__h-4__c-32__tol-na__raw,2718,4,32,,raw,test,ok,,,364,1,3,4,32.0,32.0,256.0,1.0,1.0,0.027141905893129956,0.039680665465761586,1.0,,,,,0.0614732,0.0002628,0.0002628,0.0002628,2.79e-05,2.79e-05,2.79e-05,24360,80
seed-2718__h-4__c-32__tol-na__first_difference,2718,4,32,,first_difference,validation,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.03383274594554123,0.052887819987684284,1.4627404208669006,,,,,0.0682771,0.0002259,0.0002259,0.0002259,2.73e-05,2.73e-05,2.73e-05,24360,80
seed-2718__h-4__c-32__tol-na__first_difference,2718,4,32,,first_difference,test,ok,,,364,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.036184259144272465,0.05826690163234904,1.4683952738298849,,,,,0.0682771,0.0002259,0.0002259,0.0002259,2.87e-05,2.87e-05,2.87e-05,24360,80
seed-2718__h-4__c-32__tol-0p01__vectorchain,2718,4,32,0.01,vectorchain,validation,ok,,,357,5,15,16,17.5406162464986,87.70308123249299,701.6246498599439,1.824337272436921,0.3648674544873842,0.03138056842546322,0.04803322369641189,1.328474833367014,False,False,False,False,2.120154,0.0005047,0.0005047,0.0005047,4.01e-05,4.01e-05,4.01e-05,121800,368
seed-2718__h-4__c-32__tol-0p01__vectorchain,2718,4,32,0.01,vectorchain,test,ok,,,364,5,15,16,17.024725274725274,85.12362637362638,680.989010989011,1.8796191705664032,0.3759238341132806,0.0328016497125076,0.05338567545749062,1.345382564300853,False,False,False,False,2.120154,0.0005047,0.0005047,0.0005047,4.89e-05,4.89e-05,4.89e-05,121800,368
seed-2718__h-4__c-32__tol-0p03__vectorchain,2718,4,32,0.03,vectorchain,validation,ok,,,357,5,15,16,3.61624649859944,18.0812324929972,144.6498599439776,8.848954298993029,1.7697908597986058,0.03313823223609779,0.04865882849059038,1.3457774451998725,False,True,True,False,0.9883844,0.0004342,0.0004342,0.0004342,5.46e-05,5.46e-05,5.46e-05,121800,368
seed-2718__h-4__c-32__tol-0p03__vectorchain,2718,4,32,0.03,vectorchain,test,ok,,,364,5,15,16,3.1648351648351647,15.824175824175825,126.5934065934066,10.11111111111111,2.022222222222222,0.032733926088828295,0.05036316072922882,1.2692115955737842,False,True,True,False,0.9883844,0.0004342,0.0004342,0.0004342,4.15e-05,4.15e-05,4.15e-05,121800,368
seed-2718__h-4__c-32__tol-0p1__vectorchain,2718,4,32,0.1,vectorchain,validation,ok,,,357,5,15,16,1.2156862745098038,6.078431372549019,48.627450980392155,26.322580645161292,5.264516129032258,0.022303628710349042,0.034639900841485695,0.9580501360703005,True,True,True,True,0.7976859,0.0004313,0.0004313,0.0004313,3.86e-05,3.86e-05,3.86e-05,121800,368
seed-2718__h-4__c-32__tol-0p1__vectorchain,2718,4,32,0.1,vectorchain,test,ok,,,364,5,15,16,1.2225274725274726,6.112637362637362,48.9010989010989,26.1752808988764,5.235056179775281,0.01951098645313113,0.029083289316642495,0.7329335074215673,True,True,True,True,0.7976859,0.0004313,0.0004313,0.0004313,9.25e-05,9.25e-05,9.25e-05,121800,368
seed-2718__h-16__c-32__tol-na__raw,2718,16,32,,raw,validation,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.10262469271317794,0.17868402237576425,1.0,,,,,0.1211827,0.0002962,0.0002962,0.0002962,2.93e-05,2.93e-05,2.93e-05,23856,80
seed-2718__h-16__c-32__tol-na__raw,2718,16,32,,raw,test,ok,,,364,1,3,4,32.0,32.0,256.0,1.0,1.0,0.11717026343783901,0.20470420816690732,1.0,,,,,0.1211827,0.0002962,0.0002962,0.0002962,3.04e-05,3.04e-05,3.04e-05,23856,80
seed-2718__h-16__c-32__tol-na__first_difference,2718,16,32,,first_difference,validation,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.13710576226682916,0.23774540663251206,1.3305353409413654,,,,,0.0709822,0.0002289,0.0002289,0.0002289,3.42e-05,3.42e-05,3.42e-05,23856,80
seed-2718__h-16__c-32__tol-na__first_difference,2718,16,32,,first_difference,test,ok,,,364,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.1506887651057296,0.2636910669247829,1.2881565517684919,,,,,0.0709822,0.0002289,0.0002289,0.0002289,2.86e-05,2.86e-05,2.86e-05,23856,80
seed-2718__h-16__c-32__tol-0p01__vectorchain,2718,16,32,0.01,vectorchain,validation,ok,,,357,5,15,16,17.537815126050422,87.6890756302521,701.5126050420168,1.8246286535697172,0.36492573071394346,0.1278006816115291,0.22245632129812215,1.2449704139204276,False,False,False,False,2.1119532,0.0005306,0.0005306,0.0005306,6.64e-05,6.64e-05,6.64e-05,119280,368
seed-2718__h-16__c-32__tol-0p01__vectorchain,2718,16,32,0.01,vectorchain,test,ok,,,364,5,15,16,17.0,85.0,680.0,1.8823529411764706,0.3764705882352941,0.134467845019172,0.24526375272747625,1.1981373266518212,False,False,False,False,2.1119532,0.0005306,0.0005306,0.0005306,3.85e-05,3.85e-05,3.85e-05,119280,368
seed-2718__h-16__c-32__tol-0p03__vectorchain,2718,16,32,0.03,vectorchain,validation,ok,,,357,5,15,16,3.6470588235294117,18.235294117647058,145.88235294117646,8.774193548387096,1.7548387096774194,0.1296594790421387,0.22140288128720753,1.2390748671507266,False,True,True,False,0.9315939,0.0004105,0.0004105,0.0004105,3.58e-05,3.58e-05,3.58e-05,119280,368
seed-2718__h-16__c-32__tol-0p03__vectorchain,2718,16,32,0.03,vectorchain,test,ok,,,364,5,15,16,3.1895604395604398,15.947802197802197,127.58241758241758,10.032730404823427,2.006546080964686,0.1279150536994966,0.22287306476818966,1.0887566345801167,True,True,True,True,0.9315939,0.0004105,0.0004105,0.0004105,3.7e-05,3.7e-05,3.7e-05,119280,368
seed-2718__h-16__c-32__tol-0p1__vectorchain,2718,16,32,0.1,vectorchain,validation,ok,,,357,5,15,16,1.2156862745098038,6.078431372549019,48.627450980392155,26.322580645161292,5.264516129032258,0.1033401085053916,0.20327461892577142,1.1376205674298863,False,True,True,False,0.7601498,0.0004363,0.0004363,0.0004363,3.76e-05,3.76e-05,3.76e-05,119280,368
seed-2718__h-16__c-32__tol-0p1__vectorchain,2718,16,32,0.1,vectorchain,test,ok,,,364,5,15,16,1.2225274725274726,6.112637362637362,48.9010989010989,26.1752808988764,5.235056179775281,0.09999719180621532,0.20628613704789392,1.0077278767014735,True,True,True,True,0.7601498,0.0004363,0.0004363,0.0004363,4.09e-05,4.09e-05,4.09e-05,119280,368
seed-2718__h-1__c-64__tol-na__raw,2718,1,64,,raw,validation,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.01503232687074455,0.019808239138964293,1.0,,,,,0.0595395,0.0002609,0.0002609,0.0002609,2.92e-05,2.92e-05,2.92e-05,23184,80
seed-2718__h-1__c-64__tol-na__raw,2718,1,64,,raw,test,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.015510846820463395,0.019772766415493043,1.0,,,,,0.0595395,0.0002609,0.0002609,0.0002609,2.94e-05,2.94e-05,2.94e-05,23184,80
seed-2718__h-1__c-64__tol-na__first_difference,2718,1,64,,first_difference,validation,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.01914272802358091,0.026784626418901367,1.3521962366767875,,,,,0.0660213,0.0002238,0.0002238,0.0002238,2.83e-05,2.83e-05,2.83e-05,23184,80
seed-2718__h-1__c-64__tol-na__first_difference,2718,1,64,,first_difference,test,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.019122189294385986,0.026614348277927857,1.3460103517469393,,,,,0.0660213,0.0002238,0.0002238,0.0002238,2.89e-05,2.89e-05,2.89e-05,23184,80
seed-2718__h-1__c-64__tol-0p01__vectorchain,2718,1,64,0.01,vectorchain,validation,ok,,,357,5,15,16,35.26330532212885,176.31652661064425,1410.532212885154,1.8149177853681786,0.3629835570736357,0.01658175021390081,0.02258718640801144,1.1402924939239425,False,False,False,False,4.2375715,0.0004777,0.0004777,0.0004777,4.91e-05,4.91e-05,4.91e-05,115920,368
seed-2718__h-1__c-64__tol-0p01__vectorchain,2718,1,64,0.01,vectorchain,test,ok,,,357,5,15,16,34.32773109243698,171.6386554621849,1373.109243697479,1.8643818849449203,0.37287637698898407,0.016190770376515867,0.022044989192962255,1.1149167865397327,False,False,False,False,4.2375715,0.0004777,0.0004777,0.0004777,4.61e-05,4.61e-05,4.61e-05,115920,368
seed-2718__h-1__c-64__tol-0p03__vectorchain,2718,1,64,0.03,vectorchain,validation,ok,,,357,5,15,16,6.851540616246498,34.25770308123249,274.06162464985994,9.34096484055601,1.868192968111202,0.015635963265837168,0.02046157768476182,1.03298317135683,True,True,True,True,1.6998345,0.0004574,0.0004574,0.0004574,4.54e-05,4.54e-05,4.54e-05,115920,368
seed-2718__h-1__c-64__tol-0p03__vectorchain,2718,1,64,0.03,vectorchain,test,ok,,,357,5,15,16,5.851540616246498,29.257703081232492,234.06162464985994,10.937290569650552,2.18745811393011,0.015660161562194883,0.019967865354146425,1.009867053226326,True,True,True,True,1.6998345,0.0004574,0.0004574,0.0004574,3.83e-05,3.83e-05,3.83e-05,115920,368
seed-2718__h-1__c-64__tol-0p1__vectorchain,2718,1,64,0.1,vectorchain,validation,ok,,,357,5,15,16,1.669467787114846,8.34733893557423,66.77871148459384,38.335570469798654,7.667114093959731,0.01328673699931274,0.016737507203164352,0.8449770363606132,True,True,True,True,1.4282606,0.0004166,0.0004166,0.0004166,4.32e-05,4.32e-05,4.32e-05,115920,368
seed-2718__h-1__c-64__tol-0p1__vectorchain,2718,1,64,0.1,vectorchain,test,ok,,,357,5,15,16,1.6862745098039216,8.431372549019608,67.45098039215686,37.95348837209302,7.590697674418604,0.01279106261045313,0.0157266374119952,0.7953685934241614,True,True,True,True,1.4282606,0.0004166,0.0004166,0.0004166,5.62e-05,5.62e-05,5.62e-05,115920,368
seed-2718__h-4__c-64__tol-na__raw,2718,4,64,,raw,validation,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.03557726985396401,0.056435420205184945,1.0,,,,,0.0595516,0.0002424,0.0002424,0.0002424,3.2e-05,3.2e-05,3.2e-05,23016,80
seed-2718__h-4__c-64__tol-na__raw,2718,4,64,,raw,test,ok,,,364,1,3,4,64.0,64.0,512.0,1.0,1.0,0.03851970748314656,0.06274672703883584,1.0,,,,,0.0595516,0.0002424,0.0002424,0.0002424,2.85e-05,2.85e-05,2.85e-05,23016,80
seed-2718__h-4__c-64__tol-na__first_difference,2718,4,64,,first_difference,validation,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.0476988114859759,0.0758165770439877,1.3434218575557293,,,,,0.0660366,0.0002337,0.0002337,0.0002337,2.78e-05,2.78e-05,2.78e-05,23016,80
seed-2718__h-4__c-64__tol-na__first_difference,2718,4,64,,first_difference,test,ok,,,364,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.048530714351563344,0.07993354494050586,1.2739077990638872,,,,,0.0660366,0.0002337,0.0002337,0.0002337,2.89e-05,2.89e-05,2.89e-05,23016,80
seed-2718__h-4__c-64__tol-0p01__vectorchain,2718,4,64,0.01,vectorchain,validation,ok,,,357,5,15,16,35.27170868347339,176.35854341736695,1410.8683473389356,1.8144853875476492,0.3628970775095299,0.03800535222557245,0.05770941987411349,1.022574469443066,True,False,False,False,4.2728331,0.0004001,0.0004001,0.0004001,4.36e-05,4.36e-05,4.36e-05,115080,368
seed-2718__h-4__c-64__tol-0p01__vectorchain,2718,4,64,0.01,vectorchain,test,ok,,,364,5,15,16,34.332417582417584,171.6620879120879,1373.2967032967033,1.8641273905737377,0.37282547811474753,0.03866169927366784,0.061444521058327164,0.9792466309883749,True,False,False,False,4.2728331,0.0004001,0.0004001,0.0004001,3.82e-05,3.82e-05,3.82e-05,115080,368
seed-2718__h-4__c-64__tol-0p03__vectorchain,2718,4,64,0.03,vectorchain,validation,ok,,,357,5,15,16,6.8879551820728295,34.43977591036415,275.5182072829132,9.291581943879626,1.858316388775925,0.03438657531727271,0.049037564971053334,0.8689146779232816,True,True,True,True,1.7122291,0.0006554,0.0006554,0.0006554,5.78e-05,5.78e-05,5.78e-05,115080,368
seed-2718__h-4__c-64__tol-0p03__vectorchain,2718,4,64,0.03,vectorchain,test,ok,,,364,5,15,16,5.851648351648351,29.25824175824176,234.06593406593407,10.937089201877935,2.187417840375587,0.034655651977635454,0.05116737845164483,0.8154589229805692,True,True,True,True,1.7122291,0.0006554,0.0006554,0.0006554,8.31e-05,8.31e-05,8.31e-05,115080,368
seed-2718__h-4__c-64__tol-0p1__vectorchain,2718,4,64,0.1,vectorchain,validation,ok,,,357,5,15,16,1.669467787114846,8.34733893557423,66.77871148459384,38.335570469798654,7.667114093959731,0.017910277578636957,0.02314655749335287,0.41014237883226223,True,True,True,True,1.3930862,0.0004272,0.0004272,0.0004272,4.12e-05,4.12e-05,4.12e-05,115080,368
seed-2718__h-4__c-64__tol-0p1__vectorchain,2718,4,64,0.1,vectorchain,test,ok,,,364,5,15,16,1.6868131868131868,8.434065934065934,67.47252747252747,37.9413680781759,7.588273615635179,0.017156407726611457,0.02375335006491114,0.37855918843718295,True,True,True,True,1.3930862,0.0004272,0.0004272,0.0004272,3.65e-05,3.65e-05,3.65e-05,115080,368
seed-2718__h-16__c-64__tol-na__raw,2718,16,64,,raw,validation,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.1411444217280128,0.26047461675101574,1.0,,,,,0.0581749,0.0002789,0.0002789,0.0002789,3.23e-05,3.23e-05,3.23e-05,22512,80
seed-2718__h-16__c-64__tol-na__raw,2718,16,64,,raw,test,ok,,,364,1,3,4,64.0,64.0,512.0,1.0,1.0,0.15374349046706204,0.2821356183781174,1.0,,,,,0.0581749,0.0002789,0.0002789,0.0002789,3.48e-05,3.48e-05,3.48e-05,22512,80
seed-2718__h-16__c-64__tol-na__first_difference,2718,16,64,,first_difference,validation,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.17721977979162257,0.29894794009190445,1.1477046931512134,,,,,0.0649838,0.0002294,0.0002294,0.0002294,2.8e-05,2.8e-05,2.8e-05,22512,80
seed-2718__h-16__c-64__tol-na__first_difference,2718,16,64,,first_difference,test,ok,,,364,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.18578430911678817,0.31460222505451735,1.1150744697285555,,,,,0.0649838,0.0002294,0.0002294,0.0002294,2.87e-05,2.87e-05,2.87e-05,22512,80
seed-2718__h-16__c-64__tol-0p01__vectorchain,2718,16,64,0.01,vectorchain,validation,ok,,,357,5,15,16,35.173669467787114,175.86834733893556,1406.9467787114845,1.8195428844469221,0.36390857688938444,0.14064948539251634,0.2238792444099595,0.8595050343195733,True,False,False,False,4.0795406,0.000409,0.000409,0.000409,4.94e-05,4.94e-05,4.94e-05,112560,368
seed-2718__h-16__c-64__tol-0p01__vectorchain,2718,16,64,0.01,vectorchain,test,ok,,,364,5,15,16,34.32142857142857,171.60714285714286,1372.857142857143,1.8647242455775235,0.3729448491155047,0.15152475271813878,0.24943255096511655,0.8840874200818831,True,False,False,False,4.0795406,0.000409,0.000409,0.000409,3.64e-05,3.64e-05,3.64e-05,112560,368
seed-2718__h-16__c-64__tol-0p03__vectorchain,2718,16,64,0.03,vectorchain,validation,ok,,,357,5,15,16,6.921568627450981,34.6078431372549,276.8627450980392,9.246458923512748,1.8492917847025494,0.12222880093599331,0.18937723417183822,0.7270467907161234,True,True,True,True,1.8837481,0.000414,0.000414,0.000414,4.42e-05,4.42e-05,4.42e-05,112560,368
seed-2718__h-16__c-64__tol-0p03__vectorchain,2718,16,64,0.03,vectorchain,test,ok,,,364,5,15,16,5.868131868131868,29.34065934065934,234.72527472527472,10.906367041198502,2.1812734082397003,0.13318035407522497,0.20705421069503593,0.7338818540009452,True,True,True,True,1.8837481,0.000414,0.000414,0.000414,3.85e-05,3.85e-05,3.85e-05,112560,368
