condition_id,seed,horizon,context_length,tolerance,representation,split,status,error_type,error_message,n_examples,n_representation_features,n_pooled_features,n_model_parameters,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw,scalar_reduction_factor_vs_raw,mae,rmse,rmse_ratio_vs_raw,predictive_parity_vs_raw,structural_reduction_success,payload_reduction_success,joint_success,representation_runtime_s,train_runtime_median_s,train_runtime_q1_s,train_runtime_q3_s,inference_runtime_median_s,inference_runtime_q1_s,inference_runtime_q3_s,train_design_bytes,model_state_bytes
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,test,ok,,,364,5,15,16,3.019230769230769,15.096153846153847,120.76923076923077,10.598726114649681,2.1197452229299363,0.032049414407903105,0.04992653639680615,1.2645459381163198,False,True,True,False,0.9221787,0.0004282,0.0004282,0.0004282,3.92e-05,3.92e-05,3.92e-05,121800,368
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,validation,ok,,,357,5,15,16,1.2044817927170868,6.022408963585434,48.17927170868347,26.567441860465117,5.3134883720930235,0.017678664833694367,0.023732286193509883,0.6752746575195904,True,True,True,True,0.7611885,0.0004272,0.0004272,0.0004272,4.23e-05,4.23e-05,4.23e-05,121800,368
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,test,ok,,,364,5,15,16,1.2252747252747254,6.126373626373627,49.010989010989015,26.11659192825112,5.223318385650224,0.017696373838933067,0.024841712681003703,0.62919419478547,True,True,True,True,0.7611885,0.0004272,0.0004272,0.0004272,3.85e-05,3.85e-05,3.85e-05,121800,368
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,validation,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.10189921409104837,0.17973171694716894,1.0,,,,,0.0611323,0.0002527,0.0002527,0.0002527,2.79e-05,2.79e-05,2.79e-05,23856,80
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,test,ok,,,364,1,3,4,32.0,32.0,256.0,1.0,1.0,0.11621211870840005,0.20406021512480174,1.0,,,,,0.0611323,0.0002527,0.0002527,0.0002527,7.07e-05,7.07e-05,7.07e-05,23856,80
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,validation,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.1351067630370161,0.23749190425086927,1.3213689174330794,,,,,0.0686065,0.0002593,0.0002593,0.0002593,3.62e-05,3.62e-05,3.62e-05,23856,80
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,test,ok,,,364,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.14902901759960122,0.263484052011262,1.2912073617589646,,,,,0.0686065,0.0002593,0.0002593,0.0002593,3.01e-05,3.01e-05,3.01e-05,23856,80
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,validation,ok,,,357,5,15,16,16.96358543417367,84.81792717086834,678.5434173669468,1.8863936591809776,0.37727873183619554,0.12730214028589962,0.21833790840521242,1.2147989910394699,False,False,False,False,2.0771071,0.0004123,0.0004123,0.0004123,3.69e-05,3.69e-05,3.69e-05,119280,368
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,test,ok,,,364,5,15,16,16.162087912087912,80.81043956043956,646.4835164835165,1.9799422063573007,0.39598844127146016,0.13701482849254296,0.2379262806992077,1.165961138253695,False,False,False,False,2.0771071,0.0004123,0.0004123,0.0004123,3.83e-05,3.83e-05,3.83e-05,119280,368
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,validation,ok,,,357,5,15,16,3.280112044817927,16.400560224089634,131.20448179271708,9.755764304013663,1.9511528608027329,0.12408897884090424,0.21495869444691515,1.195997557348773,False,True,True,False,0.9026074,0.0004395,0.0004395,0.0004395,3.68e-05,3.68e-05,3.68e-05,119280,368
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,test,ok,,,364,5,15,16,3.0164835164835164,15.082417582417582,120.65934065934066,10.608378870673953,2.1216757741347907,0.11926847852597774,0.21091701585346187,1.0336018499464315,True,True,True,True,0.9026074,0.0004395,0.0004395,0.0004395,3.83e-05,3.83e-05,3.83e-05,119280,368
seed-1729__h-16__c-32__tol-0p1__vectorchain,1729,16,32,0.1,vectorchain,validation,ok,,,357,5,15,16,1.2044817927170868,6.022408963585434,48.17927170868347,26.567441860465117,5.3134883720930235,0.05705527608782377,0.09652461839439605,0.5370483297768133,True,True,True,True,0.7464695,0.0004645,0.0004645,0.0004645,5.51e-05,5.51e-05,5.51e-05,119280,368
seed-1729__h-16__c-32__tol-0p1__vectorchain,1729,16,32,0.1,vectorchain,test,ok,,,364,5,15,16,1.2252747252747254,6.126373626373627,49.010989010989015,26.11659192825112,5.223318385650224,0.0530178641194238,0.09751287856631356,0.477863254758775,True,True,True,True,0.7464695,0.0004645,0.0004645,0.0004645,5.51e-05,5.51e-05,5.51e-05,119280,368
seed-1729__h-1__c-64__tol-na__raw,1729,1,64,,raw,validation,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.01420178134604677,0.018368504850147505,1.0,,,,,0.0631337,0.0002452,0.0002452,0.0002452,3.31e-05,3.31e-05,3.31e-05,23184,80
