condition_id,seed,horizon,context_length,tolerance,representation,split,signal,n_examples,mae,rmse
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,validation,sine,51,0.012354433356113977,0.015532301542042251
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,validation,chirp,51,0.018677799866699412,0.022248979764850626
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,validation,ramp,51,0.011451798297559997,0.013805883698530405
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,validation,piecewise_linear,51,0.013859948665756487,0.016842562535856257
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,validation,first_order_response,51,0.010335038579706456,0.013539356046030536
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,validation,second_order_response,51,0.01036389643080558,0.012761255862841455
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,validation,regime_change,51,0.027616495326216555,0.032684046379462726
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,test,sine,51,0.012813546493364466,0.01625141834324793
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,test,chirp,51,0.023625198096941462,0.02843598412448064
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,test,ramp,51,0.011264862069392796,0.014277165343805584
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,test,piecewise_linear,51,0.009509590063723952,0.011567265776585433
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,test,first_order_response,51,0.010256969723348892,0.012136420589988067
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,test,second_order_response,51,0.0109044208173745,0.014108158264830594
seed-1729__h-1__c-32__tol-0p03__vectorchain,1729,1,32,0.03,vectorchain,test,regime_change,51,0.03117753171317153,0.03686401344286998
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,validation,sine,51,0.011716319082517588,0.01490967850395208
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,validation,chirp,51,0.013131228164933595,0.016422869749435055
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,validation,ramp,51,0.011464303257017075,0.01393026379471283
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,validation,piecewise_linear,51,0.014190971739840595,0.017315659756610913
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,validation,first_order_response,51,0.010609118710434283,0.014047507432106096
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,validation,second_order_response,51,0.010937493959611301,0.013812654955999027
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,validation,regime_change,51,0.016281270537978152,0.020937075173053796
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,test,sine,51,0.011340589683808138,0.01478351714406017
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,test,chirp,51,0.016378065597349646,0.02013942132381846
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,test,ramp,51,0.011384231533992996,0.014156126944419084
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,test,piecewise_linear,51,0.00933766221893007,0.01093878741375208
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,test,first_order_response,51,0.010449318709196324,0.012496795106936343
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,test,second_order_response,51,0.011313367298329843,0.014222532691268438
seed-1729__h-1__c-32__tol-0p1__vectorchain,1729,1,32,0.1,vectorchain,test,regime_change,51,0.0184039698280853,0.022954406652294042
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,validation,sine,51,0.014499984499416668,0.017795077747970064
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,validation,chirp,51,0.03411020673704572,0.040053294352207364
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,validation,ramp,51,0.009839968294815432,0.012464863874844929
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,validation,piecewise_linear,51,0.012682756659807054,0.016424244868584903
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,validation,first_order_response,51,0.013814341809094986,0.016680175935559125
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,validation,second_order_response,51,0.013460376946425035,0.016377064506552682
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,validation,regime_change,51,0.06670112287618629,0.07585199247150513
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,test,sine,52,0.014260216376213778,0.018109924695079275
