signal,signal_seed,tolerance,phase,repetition,duration_s
ramp,2525541738255795592,0.001,reconstruction,0,0.0044905
ramp,2525541738255795592,0.001,transform,1,0.2252777
ramp,2525541738255795592,0.001,reconstruction,1,0.0045993
ramp,2525541738255795592,0.001,transform,2,0.2269118
ramp,2525541738255795592,0.001,reconstruction,2,0.0045261
ramp,2525541738255795592,0.001,transform,3,0.2284367
ramp,2525541738255795592,0.001,reconstruction,3,0.0043907
ramp,2525541738255795592,0.001,transform,4,0.2266318
ramp,2525541738255795592,0.001,reconstruction,4,0.0051763
ramp,2525541738255795592,0.003,transform,0,0.1798978
ramp,2525541738255795592,0.003,reconstruction,0,0.0038577
ramp,2525541738255795592,0.003,transform,1,0.1811638
ramp,2525541738255795592,0.003,reconstruction,1,0.0043891
ramp,2525541738255795592,0.003,transform,2,0.179292
ramp,2525541738255795592,0.003,reconstruction,2,0.0042586
ramp,2525541738255795592,0.003,transform,3,0.1816163
ramp,2525541738255795592,0.003,reconstruction,3,0.0039629
ramp,2525541738255795592,0.003,transform,4,0.1790311
ramp,2525541738255795592,0.003,reconstruction,4,0.0039388
ramp,2525541738255795592,0.01,transform,0,0.0874938
ramp,2525541738255795592,0.01,reconstruction,0,0.0024602
ramp,2525541738255795592,0.01,transform,1,0.0906572
ramp,2525541738255795592,0.01,reconstruction,1,0.0025463
ramp,2525541738255795592,0.01,transform,2,0.0872633
ramp,2525541738255795592,0.01,reconstruction,2,0.0025378
ramp,2525541738255795592,0.01,transform,3,0.0878223
ramp,2525541738255795592,0.01,reconstruction,3,0.0035996
ramp,2525541738255795592,0.01,transform,4,0.0915
ramp,2525541738255795592,0.01,reconstruction,4,0.0039364
ramp,2525541738255795592,0.03,transform,0,0.013843
ramp,2525541738255795592,0.03,reconstruction,0,0.0003889
ramp,2525541738255795592,0.03,transform,1,0.0142228
ramp,2525541738255795592,0.03,reconstruction,1,0.0003789
ramp,2525541738255795592,0.03,transform,2,0.0140139
ramp,2525541738255795592,0.03,reconstruction,2,0.0005013
ramp,2525541738255795592,0.03,transform,3,0.0138635
ramp,2525541738255795592,0.03,reconstruction,3,0.0003969
ramp,2525541738255795592,0.03,transform,4,0.0140394
ramp,2525541738255795592,0.03,reconstruction,4,0.0003833
ramp,2525541738255795592,0.1,transform,0,0.0303245
ramp,2525541738255795592,0.1,reconstruction,0,4.81e-05
ramp,2525541738255795592,0.1,transform,1,0.0301625
ramp,2525541738255795592,0.1,reconstruction,1,4.9e-05
ramp,2525541738255795592,0.1,transform,2,0.0304602
ramp,2525541738255795592,0.1,reconstruction,2,5.07e-05
ramp,2525541738255795592,0.1,transform,3,0.030049
ramp,2525541738255795592,0.1,reconstruction,3,4.88e-05
ramp,2525541738255795592,0.1,transform,4,0.0303743
ramp,2525541738255795592,0.1,reconstruction,4,4.75e-05
piecewise_linear,8232356733117608449,0.001,transform,0,0.2293106
piecewise_linear,8232356733117608449,0.001,reconstruction,0,0.0043763
piecewise_linear,8232356733117608449,0.001,transform,1,0.2285537
piecewise_linear,8232356733117608449,0.001,reconstruction,1,0.0044854
piecewise_linear,8232356733117608449,0.001,transform,2,0.2359269
piecewise_linear,8232356733117608449,0.001,reconstruction,2,0.0048386
piecewise_linear,8232356733117608449,0.001,transform,3,0.2237892
piecewise_linear,8232356733117608449,0.001,reconstruction,3,0.0048229
piecewise_linear,8232356733117608449,0.001,transform,4,0.2343824
piecewise_linear,8232356733117608449,0.001,reconstruction,4,0.0050002
piecewise_linear,8232356733117608449,0.003,transform,0,0.1767745
piecewise_linear,8232356733117608449,0.003,reconstruction,0,0.0040454
piecewise_linear,8232356733117608449,0.003,transform,1,0.1788676
piecewise_linear,8232356733117608449,0.003,reconstruction,1,0.0039646
piecewise_linear,8232356733117608449,0.003,transform,2,0.1782037
piecewise_linear,8232356733117608449,0.003,reconstruction,2,0.0039195
piecewise_linear,8232356733117608449,0.003,transform,3,0.1771461
piecewise_linear,8232356733117608449,0.003,reconstruction,3,0.0042497
piecewise_linear,8232356733117608449,0.003,transform,4,0.1818334
piecewise_linear,8232356733117608449,0.003,reconstruction,4,0.0041901
piecewise_linear,8232356733117608449,0.01,transform,0,0.0909748
piecewise_linear,8232356733117608449,0.01,reconstruction,0,0.0025624
piecewise_linear,8232356733117608449,0.01,transform,1,0.0880466
piecewise_linear,8232356733117608449,0.01,reconstruction,1,0.003482
piecewise_linear,8232356733117608449,0.01,transform,2,0.0911559
piecewise_linear,8232356733117608449,0.01,reconstruction,2,0.0031914
piecewise_linear,8232356733117608449,0.01,transform,3,0.0886791
piecewise_linear,8232356733117608449,0.01,reconstruction,3,0.0032133
piecewise_linear,8232356733117608449,0.01,transform,4,0.0885344
piecewise_linear,8232356733117608449,0.01,reconstruction,4,0.0030522
piecewise_linear,8232356733117608449,0.03,transform,0,0.013919
piecewise_linear,8232356733117608449,0.03,reconstruction,0,0.0004225
piecewise_linear,8232356733117608449,0.03,transform,1,0.0142808
piecewise_linear,8232356733117608449,0.03,reconstruction,1,0.0004144
piecewise_linear,8232356733117608449,0.03,transform,2,0.0143651
piecewise_linear,8232356733117608449,0.03,reconstruction,2,0.000413
piecewise_linear,8232356733117608449,0.03,transform,3,0.0145068
piecewise_linear,8232356733117608449,0.03,reconstruction,3,0.00049
piecewise_linear,8232356733117608449,0.03,transform,4,0.0144071
piecewise_linear,8232356733117608449,0.03,reconstruction,4,0.0004349
piecewise_linear,8232356733117608449,0.1,transform,0,0.0155217
piecewise_linear,8232356733117608449,0.1,reconstruction,0,6.82e-05
piecewise_linear,8232356733117608449,0.1,transform,1,0.0161155
piecewise_linear,8232356733117608449,0.1,reconstruction,1,7.28e-05
piecewise_linear,8232356733117608449,0.1,transform,2,0.0156003
piecewise_linear,8232356733117608449,0.1,reconstruction,2,6.82e-05
piecewise_linear,8232356733117608449,0.1,transform,3,0.0154302
piecewise_linear,8232356733117608449,0.1,reconstruction,3,6.78e-05
piecewise_linear,8232356733117608449,0.1,transform,4,0.0153231
piecewise_linear,8232356733117608449,0.1,reconstruction,4,6.7e-05
first_order_response,7754526753939400464,0.001,transform,0,0.2437608
first_order_response,7754526753939400464,0.001,reconstruction,0,0.0044315
first_order_response,7754526753939400464,0.001,transform,1,0.2325244
first_order_response,7754526753939400464,0.001,reconstruction,1,0.0046761
first_order_response,7754526753939400464,0.001,transform,2,0.2373893
first_order_response,7754526753939400464,0.001,reconstruction,2,0.004481
first_order_response,7754526753939400464,0.001,transform,3,0.2284328
first_order_response,7754526753939400464,0.001,reconstruction,3,0.0043629
first_order_response,7754526753939400464,0.001,transform,4,0.23071
first_order_response,7754526753939400464,0.001,reconstruction,4,0.0043214
first_order_response,7754526753939400464,0.003,transform,0,0.1829569
first_order_response,7754526753939400464,0.003,reconstruction,0,0.00392
first_order_response,7754526753939400464,0.003,transform,1,0.1842549
first_order_response,7754526753939400464,0.003,reconstruction,1,0.0038686
first_order_response,7754526753939400464,0.003,transform,2,0.1821511
first_order_response,7754526753939400464,0.003,reconstruction,2,0.0039546
first_order_response,7754526753939400464,0.003,transform,3,0.1895088
first_order_response,7754526753939400464,0.003,reconstruction,3,0.0050565
first_order_response,7754526753939400464,0.003,transform,4,0.1912587
first_order_response,7754526753939400464,0.003,reconstruction,4,0.0039321
first_order_response,7754526753939400464,0.01,transform,0,0.0916833
first_order_response,7754526753939400464,0.01,reconstruction,0,0.0024583
first_order_response,7754526753939400464,0.01,transform,1,0.0857034
first_order_response,7754526753939400464,0.01,reconstruction,1,0.0025507
first_order_response,7754526753939400464,0.01,transform,2,0.0905351
first_order_response,7754526753939400464,0.01,reconstruction,2,0.0026223
first_order_response,7754526753939400464,0.01,transform,3,0.084441
first_order_response,7754526753939400464,0.01,reconstruction,3,0.0025554
first_order_response,7754526753939400464,0.01,transform,4,0.0819617
first_order_response,7754526753939400464,0.01,reconstruction,4,0.0024565
first_order_response,7754526753939400464,0.03,transform,0,0.0142768
first_order_response,7754526753939400464,0.03,reconstruction,0,0.0003832
first_order_response,7754526753939400464,0.03,transform,1,0.0135738
first_order_response,7754526753939400464,0.03,reconstruction,1,0.0003668
first_order_response,7754526753939400464,0.03,transform,2,0.0144353
first_order_response,7754526753939400464,0.03,reconstruction,2,0.0003753
first_order_response,7754526753939400464,0.03,transform,3,0.0134341
first_order_response,7754526753939400464,0.03,reconstruction,3,0.0003645
first_order_response,7754526753939400464,0.03,transform,4,0.0137251
first_order_response,7754526753939400464,0.03,reconstruction,4,0.0003662
first_order_response,7754526753939400464,0.1,transform,0,0.019259
first_order_response,7754526753939400464,0.1,reconstruction,0,6.61e-05
first_order_response,7754526753939400464,0.1,transform,1,0.0188634
first_order_response,7754526753939400464,0.1,reconstruction,1,6.45e-05
first_order_response,7754526753939400464,0.1,transform,2,0.0188103
first_order_response,7754526753939400464,0.1,reconstruction,2,6.55e-05
first_order_response,7754526753939400464,0.1,transform,3,0.018819
first_order_response,7754526753939400464,0.1,reconstruction,3,6.46e-05
first_order_response,7754526753939400464,0.1,transform,4,0.018964
first_order_response,7754526753939400464,0.1,reconstruction,4,7.03e-05
second_order_response,3453063256976350239,0.001,transform,0,0.2349315
second_order_response,3453063256976350239,0.001,reconstruction,0,0.0055964
second_order_response,3453063256976350239,0.001,transform,1,0.2343747
second_order_response,3453063256976350239,0.001,reconstruction,1,0.0044254
second_order_response,3453063256976350239,0.001,transform,2,0.2347078
second_order_response,3453063256976350239,0.001,reconstruction,2,0.0044123
second_order_response,3453063256976350239,0.001,transform,3,0.2226137
second_order_response,3453063256976350239,0.001,reconstruction,3,0.0044961
second_order_response,3453063256976350239,0.001,transform,4,0.2343593
second_order_response,3453063256976350239,0.001,reconstruction,4,0.0044047
second_order_response,3453063256976350239,0.003,transform,0,0.17759
second_order_response,3453063256976350239,0.003,reconstruction,0,0.0044221
second_order_response,3453063256976350239,0.003,transform,1,0.1887417
second_order_response,3453063256976350239,0.003,reconstruction,1,0.0039738
second_order_response,3453063256976350239,0.003,transform,2,0.1818759
